         Th[K]  lambda[W/m-K]
           300      0.0368395
           400      0.0533805
           500      0.0903082
           600       0.188089
           700       0.373281
           800       0.691605
           900        0.94781
          1000       0.523243
          1100       0.266826
          1200       0.258408
          1300       0.343296
          1400       0.750079
          1500       0.950412
          1600       0.759175
          1700       0.593483
          1800       0.524862
          1900       0.517861
          2000       0.548704
          2100       0.610813
          2200        0.70772
          2300       0.848396
          2400        1.04525
          2500        1.31283
          2600        1.66664
          2700        2.12171
          2800        2.69076
          2900        3.38198
          3000        4.19623
          3100        5.12365
          3200        6.13937
          3300        7.19794
          3400        8.22749
          3500        9.12893
          3600        9.78898
          3700        10.1092
          3800        10.0385
          3900        9.59183
          4000         8.8449
