         Th[K]  lambda[W/m-K]
           300      0.0372132
           400       0.072049
           500       0.248678
           600       0.535124
           700       0.978318
           800       0.253862
           900       0.191718
          1000        0.22405
          1100       0.760263
          1200        0.96116
          1300       0.529132
          1400        0.39455
          1500       0.381475
          1600       0.409194
          1700       0.468393
          1800       0.575319
          1900       0.762873
          2000        1.08037
          2100        1.59324
          2200        2.37929
          2300        3.51699
          2400        5.06301
          2500        7.01575
          2600        9.26082
          2700        11.4758
          2800         13.019
          2900        13.1577
          3000         11.737
          3100        9.37927
          3200        6.94107
          3300        4.96246
          3400        3.56546
          3500        2.62621
          3600          1.957
          3700        1.45197
          3800        1.11594
          3900       0.929424
          4000       0.834104
