   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0      -0.152381             1.52208e-114              1.70276e-36              6.15888e-76              1.58873e-78              2.80216e-99                0.0153824              1.07456e-11              7.90407e-05              2.50087e-70              1.43172e-92              3.52999e-41             1.88012e-132             1.68195e-117             6.46765e-170              8.08774e-78              1.5219e-171              5.66315e-24              0.000162297                0.0128037                 0.971573                        1
       350              0     -0.0977412              1.03726e-96              1.32601e-30              1.18869e-64              9.15898e-67              5.95055e-84                0.0148731              2.33669e-09              0.000188927              2.05517e-59               5.1314e-78              1.42151e-34             1.49905e-111              3.36809e-99             1.53128e-143              1.09019e-65             7.44496e-145               3.3661e-20               0.00138194                 0.012576                  0.97098                        1
       400              0     -0.0372751              2.51717e-83              3.44638e-26              3.66708e-56              6.13456e-58              1.83838e-72                0.0124349              1.39384e-07              0.000395335               3.1814e-51              4.20745e-67              1.21723e-29              7.30075e-96              1.80016e-85             9.68671e-124              1.33231e-56             8.18523e-125              2.21847e-17               0.00659114                0.0121293                 0.968449                        1
       450              0      0.0333364              6.57743e-73              8.58706e-23              1.70574e-49              4.52938e-51              1.44981e-63               0.00700777               3.8657e-06              0.000925221              7.47794e-45              1.18837e-58              6.86268e-26              1.17661e-83              7.89365e-75             2.51076e-108              1.30195e-49             3.27869e-109              3.12333e-15                0.0183283                0.0109897                 0.962745                        1
       500              0       0.106239              1.43274e-64              3.85896e-20               4.1384e-44              1.42523e-45               1.6274e-56                0.0022768              6.15937e-05               0.00226896              9.36271e-40              5.88373e-52              5.00357e-23              6.90204e-74              2.21884e-66              5.47748e-96              3.74742e-44              1.01661e-96              1.39261e-13                0.0303496               0.00816622                 0.956877                        1
       550              0       0.173963              9.57677e-58              5.17647e-18               9.5021e-40              4.52124e-41              8.59449e-51              0.000578665              0.000531508               0.00379236               1.3891e-35              1.59312e-46              8.87911e-21              6.78882e-66              1.63926e-59              6.89699e-86              8.92764e-40              1.71003e-86               2.7969e-12                0.0371507               0.00460237                 0.953344                        1
       600              0       0.241981              4.68549e-52              2.95651e-16              3.39165e-36              2.56336e-37              4.83236e-46              0.000152141               0.00263757               0.00395253              4.15684e-32              5.13782e-42              6.07508e-19              3.10323e-59               8.3195e-54              1.81163e-77              3.64487e-36              5.72386e-78              3.25689e-11                0.0403486               0.00214159                 0.950768                        1
       650              0       0.316567              3.06419e-47               8.9477e-15              2.52753e-33              3.86025e-34              4.95633e-42              4.50073e-05               0.00747485               0.00219092              3.62587e-29              3.29354e-38              2.08715e-17              1.33616e-53                5.493e-49              2.41848e-70              3.99929e-33              9.38566e-71              2.54796e-10                0.0417804                0.0007869                 0.947722                        1
       700              0        0.38716              4.11928e-43              1.65638e-13               4.5894e-31              2.05188e-31              1.34521e-38              1.51078e-05                0.0113808              0.000515118              1.20095e-26              5.97526e-35              4.23891e-16              8.98055e-49              7.35379e-45              3.10165e-64               1.5859e-30               1.4359e-64              1.47081e-09                0.0423261              0.000203741                 0.945559                        1
       750              0       0.448124              1.56109e-39              2.07707e-12              3.16531e-29              4.74166e-29              1.26526e-35              5.71382e-06                0.0123913              8.43103e-05              1.83361e-24               3.9636e-32              5.69972e-15              1.36507e-44               2.7559e-41              6.09807e-59               2.8068e-28              3.28915e-59              6.68784e-09                0.0424759              4.72833e-05                 0.944995                        1
       800              0        0.50673              2.11375e-36              1.90233e-11              1.21556e-27              5.56504e-27              5.04274e-33              2.40884e-06                0.0125628              1.53758e-05              1.49129e-22              1.16357e-29              5.51007e-14               6.1982e-41              3.67824e-38              2.61035e-54              2.59118e-26                1.609e-54              2.51042e-08                0.0425129               1.2345e-05                 0.944894                        1
       850              0       0.565437              1.22586e-33              1.34585e-10              3.02205e-26              3.73699e-25              9.91687e-31              1.11548e-06                0.0125951               3.3719e-06              7.21862e-21              1.74678e-27              4.06624e-13              1.04021e-37              2.09888e-35               3.1821e-50              1.40152e-24              2.20584e-50              8.05269e-08                0.0425231              3.73195e-06                 0.944873                        1
       900              0       0.624644              3.50638e-31              7.67845e-10              5.26719e-25              1.57547e-23               1.0827e-28              5.59602e-07                0.0126025              8.75055e-07              2.26728e-19              1.49983e-25              2.39733e-12              7.61531e-35              5.89951e-33              1.36142e-46              4.85654e-23              1.04718e-46              2.26646e-07                0.0425264              1.28505e-06                 0.944868                        1
       950              0       0.684403              5.52974e-29               3.6545e-09              6.81464e-24              4.48727e-22              7.20194e-27              3.00629e-07                0.0126045              2.62344e-07              4.94719e-18              8.04534e-24              1.17019e-11              2.77216e-32              9.13398e-31              2.41119e-43              1.15672e-21              2.03462e-43              5.71465e-07                0.0425275               4.9456e-07                 0.944866                        1
      1000              0       0.744711               5.2566e-27              1.49079e-08              6.84473e-23              9.15648e-21              3.14409e-25              1.71314e-07                0.0126051              8.89613e-08              7.92025e-17              2.89344e-22              4.86571e-11              5.57202e-30              8.51826e-29              2.01751e-40              2.00324e-20              1.84956e-40              1.31239e-06                0.0425276              2.09313e-07                 0.944865                        1
      1050              0        0.80555               3.2376e-25              5.32792e-08              5.53351e-22              1.40375e-19              9.56731e-24              1.02745e-07                0.0126053              3.35295e-08              9.72431e-16              7.38722e-21              1.76361e-10              6.73154e-28              5.14436e-27              8.87619e-38              2.64007e-19              8.76666e-38              2.78223e-06                0.0425271              9.61297e-08                 0.944865                        1
      1100              0       0.866894              1.37065e-23              1.69841e-07              3.70843e-21              1.68096e-18              2.13169e-22              6.44341e-08                0.0126054               1.3845e-08              9.49382e-15              1.40301e-19              5.67808e-10              5.23934e-26              2.13469e-25              2.24132e-35               2.7483e-18              2.36761e-35              5.50479e-06                0.0425258              4.73841e-08                 0.944863                        1
      1150              0       0.928722              4.18825e-22              4.90126e-07               2.1111e-20              1.62365e-17              3.62219e-21              4.20236e-08                0.0126054              6.18891e-09              7.59409e-14              2.06035e-18              1.64928e-09              2.78237e-24              6.39177e-24               3.4921e-33              2.33048e-17              3.92039e-33              1.02574e-05                0.0425233              2.48407e-08                  0.94486                        1
      1200              0       0.991015              9.62089e-21              1.29634e-06              1.04178e-19              1.29937e-16              4.85573e-20              2.83721e-08                0.0126055              2.96531e-09              5.10255e-13              2.41602e-17              4.37823e-09              1.05755e-22              1.43851e-22              3.56604e-31              1.65158e-16              4.23091e-31              1.81364e-05                 0.042519              1.37449e-08                 0.944856                        1
      1250              0        1.05376              1.71923e-19              3.17527e-06              4.53322e-19              8.81156e-16              5.28378e-19              1.97515e-08                0.0126055              1.51017e-09              2.94081e-12              2.32429e-16               1.0738e-08               2.9949e-21               2.5182e-21              2.51089e-29              9.99497e-16              3.13271e-29              3.06218e-05                0.0425118              7.97576e-09                 0.944849                        1
      1300              0        1.11695              2.46013e-18              7.26618e-06              1.76471e-18              5.16096e-15              4.78082e-18              1.41301e-08                0.0126054              8.11719e-10              1.47982e-11              1.87688e-15              2.45556e-08              6.53775e-20              3.52979e-20              1.27247e-27              5.26011e-15              1.66213e-27               4.9635e-05                0.0425001              4.82707e-09                 0.944837                        1
      1350              0        1.18059              2.88938e-17              1.56509e-05              6.22189e-18              2.65349e-14              3.67143e-17              1.03569e-08                0.0126054              4.57708e-10              6.60034e-11              1.29717e-14              5.27655e-08              1.13245e-18              4.06078e-19              4.81432e-26              2.44493e-14               6.5576e-26              7.75875e-05                0.0424818              3.03278e-09                  0.94482                        1
      1400              0         1.2447              2.84481e-16              3.19341e-05              2.00788e-17               1.2144e-13              2.43539e-16              7.75739e-09                0.0126053              2.69355e-10              2.64338e-10              7.80208e-14               1.0725e-07              1.59566e-17              3.91612e-18              1.40313e-24              1.01705e-13              1.98585e-24              0.000117414                0.0424533              1.97006e-09                 0.944792                        1
      1450              0        1.30933              2.39124e-15              6.20636e-05              5.98507e-17              5.00694e-13              1.41666e-15              5.92325e-09                0.0126051              1.64694e-10              9.61241e-10              4.14287e-13              2.07374e-07              1.86847e-16                3.224e-17              3.23654e-23              3.82964e-13              4.74415e-23              0.000172585                0.0424099              1.31843e-09                  0.94475                        1
      1500              0        1.37457              1.74333e-14              0.000115435              1.66091e-16              1.87919e-12               7.3215e-15              4.60048e-09                0.0126048              1.04224e-10              3.20466e-09              1.96631e-12              3.83278e-07              1.85231e-15              2.30179e-16              6.04856e-22              1.31814e-12              9.15547e-22              0.000247098                0.0423447              9.06163e-10                 0.944688                        1
      1550              0        1.44053              1.11764e-13              0.000206313              4.32067e-16               6.4788e-12              3.40011e-14              3.62678e-09                0.0126042              6.80334e-11              9.87789e-09              8.43193e-12              6.79934e-07              1.57993e-14              1.44478e-15              9.34705e-21              4.18229e-12              1.45709e-20              0.000345437                0.0422478              6.37809e-10                 0.944596                        1
      1600              0         1.5074              6.37704e-13              0.000355573              1.05997e-15              2.06816e-11              1.43293e-13                2.896e-09                0.0126032              4.56729e-11              2.83581e-08              3.29749e-11              1.16178e-06              1.17598e-13              8.06817e-15              1.21591e-19              1.23215e-11              1.94729e-19              0.000472486                 0.042106               4.5854e-10                 0.944461                        1
