   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -1.33385              6.0883e-116              2.56187e-37              3.46867e-76              2.83623e-79             4.21596e-100                 0.123158              6.05189e-12              0.000626777              4.46461e-71              2.15409e-93              1.99766e-41             7.52049e-134             2.53056e-118             2.58706e-171              4.57694e-78             6.08759e-173              3.80272e-24              9.18455e-05                  0.10202                 0.774104                        1
       350              0       -1.27166              4.14904e-98              2.01364e-31              6.58051e-65              1.63529e-67              9.03631e-85                 0.123583              1.29358e-09               0.00144749               3.6694e-60              7.79237e-79              8.19518e-35             5.99622e-113             5.11467e-100              6.1251e-145              6.28509e-66             2.97799e-146              2.28165e-20              0.000796703                 0.100342                 0.773831                        1
       400              0       -1.20491              1.00687e-84              5.46513e-27              1.88241e-56              1.09581e-58              2.91524e-73                 0.122861              7.15496e-08               0.00260431              5.68288e-52              6.67201e-68              7.65225e-30               2.9203e-97              2.85463e-86             3.87468e-125              8.37569e-57             3.27409e-126              1.57103e-17               0.00414359                0.0978555                 0.772535                        1
       450              0       -1.12696              2.63097e-74              1.55644e-23              7.13601e-50              8.09249e-52              2.62785e-64                 0.118182              1.61722e-06               0.00404827              1.33606e-45              2.15397e-59               5.6365e-26              4.70643e-85              1.43076e-75              1.0043e-109              1.06933e-49             1.31148e-110              2.52865e-15                0.0150535                0.0944026                 0.768312                        1
       500              0       -1.02589              5.73097e-66              9.00096e-21              1.33199e-44              2.53726e-46              3.79589e-57                 0.105298              1.98246e-05               0.00587629              1.66679e-40              1.37237e-52              6.80546e-23              2.76082e-75              5.17542e-67              2.19099e-97              5.09695e-44              4.06643e-98              1.44567e-13                0.0412791                0.0893732                 0.758154                        1
       550              0       -0.88878              3.83071e-59              1.59545e-18               2.8387e-40              7.96631e-42              2.64893e-51                 0.081592              0.000158785               0.00846154              2.44755e-36              4.91019e-47              2.10867e-20              2.71553e-67              5.05239e-60               2.7588e-87               2.1202e-39              6.84011e-88              3.79723e-12                0.0882282                0.0816321                 0.739927                        1
       600              0      -0.715175               1.8742e-53              1.13585e-16              1.19971e-36              4.44943e-38              1.85652e-46                 0.051788              0.000932974                0.0123636              7.21536e-33              1.97387e-42              2.24168e-18              1.24129e-60              3.19623e-54              7.24651e-79              1.34494e-35              2.28954e-79              5.42973e-11                 0.148884                0.0698816                  0.71615                        1
       650              0      -0.522818              1.22567e-48              3.95774e-15              1.41638e-33              6.60393e-35              2.19228e-42                0.0269181               0.00418875                0.0172001              6.20297e-30              1.45679e-38              1.02086e-16              5.34466e-55              2.42965e-49              9.67391e-72              1.95611e-32              3.75426e-72               4.8201e-10                 0.204354                0.0539203                 0.693419                        1
       700              0      -0.319797              1.64771e-44              7.93185e-14              5.69508e-31              3.46664e-32              6.44173e-39                 0.012413                0.0141226                0.0198306                2.029e-27              2.86135e-35              2.43009e-15              3.59222e-50              3.52148e-45              1.24066e-65              9.09166e-30              5.74362e-66              2.97486e-09                 0.242647                0.0362351                 0.674751                        1
       750              0     -0.0953345              6.24435e-41              1.03699e-12              8.82312e-29              7.91522e-30               6.3169e-36               0.00554679                0.0345401                0.0163769              3.06083e-25              1.97885e-32              3.55174e-14              5.46026e-46               1.3759e-41              2.43923e-60              1.74904e-27              1.31566e-60              1.39342e-08                 0.264686                0.0205325                 0.658318                        1
