   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -3.07842             1.52208e-116              1.08605e-37              2.49289e-76              1.17699e-79             1.78726e-100                 0.254572              4.34942e-12               0.00129495              1.85274e-71              9.13177e-94              1.43604e-41             1.88012e-134             1.07278e-118             6.46765e-172              3.29018e-78              1.5219e-173              2.67595e-24               6.6024e-05                 0.210829                 0.533238                        1
       350              0       -3.00137              1.03726e-98              8.54051e-32              4.72548e-65              6.78653e-68               3.8326e-85                 0.255945              9.28922e-10               0.00298573              1.52282e-60                3.305e-79              5.89688e-35             1.49905e-113              2.1693e-100             1.53128e-145              4.52247e-66             7.44496e-147              1.60644e-20              0.000573272                 0.207393                 0.533103                        1
       400              0       -2.91865              2.51717e-85              2.32322e-27              1.34687e-56               4.5487e-59              1.23926e-73                 0.256774               5.1194e-08               0.00533306              2.35897e-52              2.83626e-68               5.5313e-30              7.30075e-98               1.2135e-86             9.68671e-126              6.05423e-57             8.18523e-127              1.10888e-17               0.00299512                  0.20244                 0.532457                        1
       450              0       -2.82701              6.57743e-75              6.66612e-24              5.04894e-50              3.36162e-52              1.12549e-64                 0.254503              1.14423e-06               0.00810623              5.54998e-46              9.22527e-60              4.13572e-26              1.17661e-85              6.12783e-76             2.51076e-110              7.84605e-50             3.27869e-111              1.79951e-15                0.0110453                 0.196033                 0.530311                        1
       500              0       -2.71892              1.43274e-66              3.92938e-21              9.17622e-45              1.05555e-46               1.6571e-57                  0.24476              1.36574e-05                0.0111555               6.9342e-41               5.9911e-53              5.18785e-23              6.90204e-76              2.25933e-67              5.47748e-98              3.88544e-44              1.01661e-98              1.05021e-13                0.0314674                 0.187742                 0.524862                        1
       550              0       -2.58121              9.57677e-60              7.24667e-19              1.85938e-40              3.31922e-42              1.20316e-51                 0.222253              0.000104006                0.0145214              1.01979e-36              2.23025e-47              1.74012e-20              6.78882e-68              2.29484e-60              6.89699e-88              1.74963e-39              1.71003e-88              2.87449e-12                0.0728077                 0.176498                 0.513816                        1
       600              0       -2.39642              4.68549e-54              5.51373e-17              7.32754e-37              1.85087e-38              9.01207e-47                 0.184039              0.000569838                0.0184489              3.00144e-33              9.58174e-43              2.11292e-18              3.10323e-61              1.55154e-54              1.81163e-79              1.26769e-35              5.72386e-80              4.38566e-11                 0.140333                 0.160922                 0.495687                        1
       650              0       -2.14853              3.06419e-49              2.09156e-15              8.22677e-34              2.72349e-35              1.15856e-42                 0.134376               0.00243296                0.0232109              2.55813e-30              7.69878e-39              1.14044e-16              1.33616e-55              1.28401e-49              2.41848e-72              2.18525e-32              9.38566e-73              4.20207e-10                 0.228293                 0.139949                 0.471738                        1
       700              0       -1.83029              4.11928e-45              4.54147e-14              3.40186e-31              1.40947e-32              3.68828e-39                0.0853773               0.00843591                0.0283027              8.24955e-28               1.6383e-35              3.18658e-15              8.98055e-51              2.01626e-45              3.10165e-66              1.19219e-29               1.4359e-66              2.77011e-09                 0.318184                  0.11353                  0.44617                        1
       750              0       -1.44029              1.56109e-41              6.29964e-13              6.07039e-29              3.17141e-30              3.83746e-36                0.0483482                0.0237639                0.0310086              1.22639e-25              1.20214e-32              5.24301e-14              1.36507e-46              8.35847e-42              6.09807e-61              2.58189e-27              3.28915e-61              1.35666e-08                 0.390724                0.0834134                 0.422742                        1
