   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -1.03867             1.52208e-114              2.70324e-36              1.54744e-75              1.45982e-78              4.44861e-99                0.0977133              2.69986e-11              0.000498967              2.29795e-70              2.27296e-92              8.89688e-41             1.88012e-132             2.67021e-117             6.46765e-170              2.03841e-77              1.5219e-171              8.26112e-24              0.000409047                0.0810794                 0.820299                        1
       350              0      -0.975686              1.03726e-96              2.11724e-30              2.95187e-64              8.41182e-67              9.50124e-84                0.0966706              5.80269e-09               0.00116507              1.88751e-59               8.1933e-78              3.62407e-34             1.49905e-111              5.37783e-99             1.53128e-143              2.77939e-65             7.44496e-145               4.9362e-20               0.00352318                0.0796194                 0.819022                        1
       400              0      -0.897159              2.51717e-83              5.65145e-26              8.65318e-56              5.62137e-58              3.01462e-72                0.0899149              3.28904e-07               0.00220129              2.91526e-51              6.89947e-67              3.27316e-29              7.30075e-96              2.95195e-85             9.68671e-124              3.58261e-56             8.18523e-125              3.33358e-17                0.0177237                0.0769637                 0.813196                        1
       450              0      -0.779961              6.57743e-73              1.52493e-22              3.53264e-49              4.12045e-51              2.57464e-63                0.0696945              8.00598e-06               0.00396842               6.8028e-45              2.11036e-58              2.16423e-25              1.17661e-83              1.40179e-74             2.51076e-108              4.10585e-49             3.27869e-109              5.04578e-15                0.0578006                0.0717764                 0.796752                        1
       500              0      -0.613427              1.43274e-64              7.77866e-20              7.65585e-44              1.27837e-45              3.28042e-56                0.0375891              0.000113946               0.00776514              8.39791e-40              1.18601e-51              2.03305e-22              6.90204e-74              4.47261e-66              5.47748e-96              1.52266e-43              1.01661e-96              2.51787e-13                 0.123317                0.0613834                 0.769832                        1
       550              0      -0.438549              9.57677e-58              1.14083e-17              1.87415e-39               3.9995e-41              1.89412e-50                0.0136515               0.00104832                0.0147529               1.2288e-35              3.51104e-46              4.31266e-20              6.78882e-66              3.61273e-59              6.89699e-86              4.33623e-39              1.71003e-86              5.45273e-12                 0.180444                0.0440902                 0.746013                        1
       600              0       -0.28099              4.68549e-52              6.78474e-16              7.75349e-36              2.24739e-37              1.10895e-45                0.0042195               0.00602963                0.0206561              3.64446e-32              1.17905e-41              3.19933e-18              3.10323e-59               1.9092e-53              1.81163e-77               1.9195e-35              5.72386e-78              6.55278e-11                 0.212488                0.0257828                 0.730824                        1
       650              0      -0.108542              3.06419e-47              2.08694e-14              7.39256e-33              3.36059e-34                1.156e-41               0.00133191                0.0218625                0.0187423              3.15655e-29              7.68176e-38               1.1354e-16              1.33616e-53              1.28117e-48              2.41848e-70               2.1756e-32              9.38566e-71              5.17359e-10                 0.227284                0.0125203                 0.718259                        1
       700              0      0.0882209              4.11928e-43              3.88249e-13               1.9257e-30              1.77235e-31              3.15311e-38              0.000456037                0.0477533               0.00906925              1.03734e-26              1.40058e-34              2.32892e-15              8.98055e-49               1.7237e-44              3.10165e-64              8.71316e-30               1.4359e-64              2.97785e-09                 0.232545               0.00469689                 0.705479                        1
       750              0       0.234581              1.56109e-39              4.87523e-12              1.63524e-28              4.07575e-29              2.96977e-35               0.00017342                0.0640151               0.00225015               1.5761e-24              9.30322e-32              3.14007e-14              1.36507e-44              6.46854e-41              6.09807e-59              1.54631e-27              3.28915e-59               1.3493e-08                 0.234007               0.00134574                 0.698208                        1
       800              0       0.326042              2.11375e-36              4.46791e-11              6.61633e-27              4.77691e-27              1.18437e-32              7.32967e-05                0.0683797              0.000455535               1.2801e-22              2.73282e-29              3.03945e-13               6.1982e-41              8.63891e-38              2.61035e-54              1.42934e-25                1.609e-54               5.0611e-08                 0.234509              0.000370656                 0.696212                        1
       850              0       0.401831              1.22586e-33              3.16178e-10              1.66274e-25              3.20674e-25              2.32976e-30              3.39788e-05                0.0692987              0.000102075              6.19437e-21               4.1037e-27              2.24422e-12              1.04021e-37              4.93087e-35               3.1821e-50              7.73522e-24              2.20584e-50              1.62338e-07                 0.234692              0.000113327                  0.69576                        1
       900              0       0.474783              3.50638e-31              1.80409e-09              2.90525e-24              1.35182e-23              2.54385e-28              1.70535e-05                0.0695122              2.66223e-05              1.94542e-19              3.52392e-25              1.32341e-11              7.61531e-35              1.38612e-32              1.36142e-46              2.68098e-22              1.04718e-46               4.5692e-07                 0.234761              3.91285e-05                 0.695644                        1
       950              0       0.547557              5.52974e-29               8.5868e-09              3.76132e-23              3.85016e-22              1.69221e-26              9.16317e-06                  0.06957              7.99218e-06              4.24478e-18              1.89038e-23              6.46044e-11              2.77216e-32              2.14617e-30              2.41119e-43              6.38609e-21              2.03462e-43               1.1521e-06                 0.234788              1.50703e-05                 0.695608                        1
      1000              0       0.620733               5.2566e-27              3.50292e-08              3.77872e-22              7.85637e-21              7.38769e-25              5.22211e-06                 0.069588               2.7113e-06              6.79567e-17              6.79873e-22              2.68642e-10              5.57202e-30              2.00154e-28              2.01751e-40              1.10601e-19              1.84956e-40              2.64588e-06                   0.2348              6.37985e-06                 0.695595                        1
      1050              0        0.69445               3.2376e-25              1.25192e-07              3.05507e-21              1.20443e-19              2.24807e-23              3.13214e-06                0.0695943              1.02204e-06              8.34353e-16              1.73581e-20               9.7374e-10              6.73154e-28              1.20879e-26              8.87619e-38              1.45766e-18              8.76666e-38              5.60925e-06                 0.234804              2.93034e-06                 0.695589                        1
      1100              0       0.768732              1.37065e-23              3.99089e-07              2.04749e-20              1.44228e-18              5.00901e-22              1.96437e-06                0.0695968              4.22042e-07              8.14575e-15              3.29677e-19              3.13513e-09              5.23934e-26              5.01604e-25              2.24132e-35              1.51746e-17              2.36761e-35              1.10983e-05                 0.234804              1.44451e-06                 0.695583                        1
      1150              0       0.843587              4.18825e-22              1.15171e-06              1.16559e-19               1.3931e-17              8.51152e-21              1.28126e-06                0.0695978              1.88664e-07              6.51575e-14              4.84146e-18              9.10683e-09              2.78237e-24              1.50196e-23               3.4921e-33              1.28682e-16              3.92039e-33              2.06805e-05                 0.234801               7.5731e-07                 0.695577                        1
