   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0        -2.3203             3.04415e-117              3.06174e-38              9.90569e-77              5.72814e-80             5.03858e-101                 0.201001              1.72828e-12               0.00102232              9.01686e-72              2.57439e-94              5.70657e-42             3.76024e-135             3.02432e-119             1.29353e-172              1.30746e-78             3.04379e-174              1.83572e-24              2.62368e-05                 0.166452                 0.631498                        1
       350              0       -2.25055              2.07452e-99              2.40809e-32              1.87742e-65               3.3031e-68              1.08064e-85                 0.202214              3.69058e-10               0.00235641              7.41175e-61              9.31881e-80              2.34407e-35             2.99811e-114             6.11657e-101             3.06255e-146              1.79772e-66             1.48899e-147              1.10229e-20              0.000227881                 0.163767                 0.631435                        1
       400              0        -2.1774              5.03434e-86               6.5555e-28              5.34755e-57              2.21472e-59              3.49687e-74                 0.203482              2.03258e-08               0.00420344              1.14856e-52              8.00317e-69              2.20206e-30              1.46015e-98              3.42416e-87             1.93734e-126              2.41025e-57             1.63705e-127              7.61735e-18               0.00119239                 0.159992                  0.63113                        1
       450              0       -2.09949              1.31549e-75              1.88571e-24              2.00067e-50              1.63873e-52              3.18377e-65                 0.203707              4.53409e-07               0.00636411              2.70551e-46              2.60964e-60              1.65471e-26              2.35322e-86              1.73343e-76             5.02151e-111              3.13922e-50             6.55738e-112              1.24075e-15               0.00441927                 0.155398                 0.630111                        1
       500              0       -2.01355              2.86549e-67              1.11872e-21              3.61943e-45              5.16145e-47              4.71788e-58                 0.201022              5.38697e-06               0.00867785              3.39069e-41              1.70571e-53              2.10259e-23              1.38041e-76              6.43249e-68               1.0955e-98              1.57474e-44              2.03322e-99              7.31034e-14                0.0127535                 0.150063                 0.627478                        1
       550              0       -1.91377              1.91535e-60              2.09187e-19              7.26771e-41               1.6331e-42              3.47312e-52                 0.192903              4.06525e-05                0.0110927              5.01751e-37              6.43796e-48              7.25003e-21              1.35776e-68              6.62441e-61               1.3794e-88              7.28965e-40              3.42006e-89              2.04128e-12                0.0303345                 0.143714                 0.621916                        1
       600              0       -1.79196              9.37099e-55              1.63261e-17              2.82015e-37              9.19746e-39              2.66847e-47                 0.176835              0.000219314                0.0136637              1.49149e-33              2.83714e-43              9.26249e-19              6.20645e-62               4.5941e-55              3.62326e-80              5.55722e-36              1.14477e-80              3.22652e-11                0.0615182                 0.135751                 0.612013                        1
       650              0       -1.63863              6.12837e-50              6.44838e-16              3.10148e-34              1.37013e-35               3.5719e-43                 0.151757              0.000917221                0.0164945              1.28694e-30              2.37357e-39              5.42004e-17              2.67233e-56              3.95866e-50              4.83695e-73              1.03856e-32              1.87713e-73              3.25874e-10                 0.108498                 0.125375                 0.596958                        1
       700              0       -1.44511              8.23856e-46              1.47799e-14               1.2649e-31              7.17014e-33              1.20032e-39                 0.119715               0.00313668                0.0195648              4.19663e-28               5.3317e-36               1.6875e-15              1.79611e-51              6.56177e-46              6.20331e-67              6.31342e-30              2.87181e-67              2.29304e-09                 0.168499                 0.111773                 0.577312                        1
       750              0       -1.20507              3.12218e-42              2.17614e-13              2.30356e-29              1.62516e-30              1.32561e-36                0.0860552               0.00901782                0.0223264              6.28453e-26              4.15265e-33              3.12819e-14              2.73013e-47              2.88734e-42              1.21961e-61              1.54046e-27              6.57831e-62              1.20076e-08                 0.233122                0.0944283                  0.55505                        1
