   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -3.39535             2.02943e-117              2.44437e-38              9.47034e-77              4.13981e-80              4.0226e-101                 0.275593              1.65232e-12               0.00140165              6.51661e-72              2.05529e-94              5.45587e-42             2.50683e-135              2.4145e-119             8.62353e-173              1.25002e-78              2.0292e-174              1.58878e-24              2.50842e-05                 0.228219                 0.494762                        1
       350              0       -3.31545              1.38301e-99               1.9226e-32              1.79479e-65               2.3872e-68              8.62775e-86                 0.277299              3.52814e-10               0.00323032              5.35658e-61              7.44006e-80              2.24126e-35             1.99874e-114             4.88342e-101              2.0417e-146              1.71888e-66             9.92662e-148              9.54049e-21              0.000217887                 0.224539                 0.494714                        1
       400              0       -3.23047              3.35623e-86               5.2348e-28              5.11063e-57              1.60063e-59              2.79237e-74                 0.279239              1.94253e-08               0.00575885               8.3009e-53              6.39081e-69              2.10625e-30              9.73433e-99              2.73432e-87             1.29156e-126              2.30537e-57             1.09136e-127              6.59418e-18                0.0011405                 0.219376                 0.494486                        1
       450              0       -3.13997              8.76991e-76               1.5067e-24              1.91023e-50              1.18439e-52              2.54386e-65                 0.280214              4.32914e-07               0.00870269               1.9554e-46              2.08513e-60              1.58459e-26              1.56881e-86              1.38503e-76             3.34768e-111               3.0062e-50             4.37159e-112              1.07477e-15               0.00423201                  0.21313                 0.493721                        1
       500              0       -3.04183              1.91032e-67              8.95239e-22              3.44803e-45              3.73072e-47              3.77541e-58                 0.278217              5.13187e-06                0.0118131              2.45081e-41              1.36497e-53              2.01966e-23              9.20273e-77              5.14749e-68               7.3033e-99              1.51263e-44              1.35548e-99              6.34259e-14                0.0122505                 0.205978                 0.491736                        1
       550              0       -2.93131               1.2769e-60              1.67947e-19              6.89235e-41              1.18057e-42              2.78843e-52                   0.2705              3.85529e-05                0.0149646              3.62715e-37              5.16877e-48              7.00985e-21              9.05176e-69              5.31846e-61              9.19599e-89              7.04816e-40              2.28004e-89               1.7771e-12                0.0293296                 0.197665                 0.487503                        1
       600              0       -2.80065              6.24733e-55              1.31875e-17              2.65388e-37               6.6494e-39              2.15547e-47                 0.254073              0.000206383                  0.01815              1.07829e-33              2.29172e-43              9.06521e-19              4.13764e-62               3.7109e-55               2.4155e-80              5.43886e-36              7.63182e-81               2.8263e-11                0.0602079                  0.18754                 0.479822                        1
       650              0       -2.63906              4.08558e-50              5.26095e-16               2.8859e-34              9.90273e-36              2.91416e-43                 0.226923              0.000853467                0.0214219              9.30148e-31              1.93649e-39              5.41155e-17              1.78155e-56               3.2297e-50              3.22464e-73              1.03693e-32              1.25142e-73              2.88235e-10                 0.108328                 0.174716                 0.467758                        1
       700              0       -2.43296              5.49238e-46              1.22341e-14              1.16189e-31              5.17568e-33              9.93573e-40                 0.189683               0.00288125                0.0247622              3.02929e-28              4.41334e-36              1.73435e-15              1.19741e-51              5.43153e-46              4.13554e-67              6.48872e-30              1.91454e-67              2.05515e-09                 0.173177                 0.158282                 0.451214                        1
       750              0       -2.16656              2.08145e-42              1.83447e-13              2.09873e-29              1.16965e-30              1.11747e-36                  0.14667               0.00821596                0.0277987              4.52305e-26              3.50064e-33              3.33449e-14              1.82009e-47                2.434e-42              8.13075e-62              1.64206e-27              4.38554e-62              1.09277e-08                 0.248496                 0.137558                 0.431261                        1
