   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -6.03464             3.04415e-116              2.07524e-37              4.55112e-76              1.07437e-79             3.41514e-100                 0.424229              7.94048e-12               0.00215801              1.69121e-71              1.74492e-93              2.62166e-41             3.76024e-134             2.04988e-118             1.29353e-171              6.00662e-78             3.04379e-173              2.33373e-24              0.000120535                 0.351338                 0.222155                        1
       350              0       -5.92415              2.07452e-98              1.63181e-31              8.62651e-65              6.19419e-68              7.32285e-85                 0.426387              1.69577e-09               0.00497506               1.3899e-60              6.31479e-79              1.07638e-34             2.99811e-113             4.14483e-100             3.06255e-145              8.25505e-66             1.48899e-146              1.40074e-20               0.00104642                 0.345539                 0.222052                        1
       400              0       -5.80169              5.03434e-85              4.43732e-27              2.45801e-56              4.14961e-59              2.36697e-73                 0.427153              9.34279e-08                 0.008881                2.152e-52              5.41722e-68              1.00892e-29              1.46015e-97              2.31776e-86             1.93734e-125              1.10431e-56             1.63705e-126              9.66064e-18               0.00546318                 0.336941                 0.221562                        1
       450              0       -5.66754              1.31549e-74              1.27169e-23              9.20469e-50              3.06158e-52              2.14707e-64                 0.421337              2.08605e-06                0.0134712              5.05463e-46              1.75989e-59              7.52547e-26              2.35322e-85                1.169e-75             5.02151e-110              1.42769e-49             6.55738e-111              1.56325e-15                0.0200984                 0.325156                 0.219936                        1
       500              0       -5.51648              2.86549e-66               7.4725e-21              1.66854e-44              9.57289e-47               3.1513e-57                 0.400145              2.48336e-05                0.0184419              6.28868e-41              1.13933e-52              9.38082e-23              1.38041e-75              4.29657e-67               1.0955e-97              7.02577e-44              2.03322e-98              9.05634e-14                0.0569003                 0.308643                 0.215845                        1
       550              0       -5.33278              1.91535e-59              1.36878e-18               3.3641e-40               2.9846e-42              2.27259e-51                 0.353624              0.000188174                0.0237673              9.16985e-37              4.21259e-47              3.10414e-20              1.35776e-67              4.33459e-60               1.3794e-87              3.12111e-39              3.42006e-88              2.44106e-12                 0.129879                 0.284822                  0.20772                        1
       600              0       -5.08447              9.37099e-54              1.02857e-16              1.31636e-36              1.64145e-38              1.68117e-46                 0.278593               0.00102369                0.0297698              2.66184e-33              1.78744e-42              3.67645e-18              6.20645e-61              2.89435e-54              3.62326e-79              2.20576e-35              1.14477e-79              3.62781e-11                 0.244177                 0.251506                 0.194931                        1
       650              0       -4.71857              6.12837e-49              3.82778e-15              1.46623e-33                2.374e-35              2.12029e-42                 0.188423               0.00433618                0.0368644              2.22986e-30              1.40896e-38              1.90983e-16              2.67233e-55              2.34987e-49              4.83695e-72              3.65951e-32              1.87713e-72               3.3517e-10                 0.382308                  0.20885                 0.179218                        1
       700              0       -4.16878              8.23856e-45               8.1179e-14              5.99591e-31              1.20868e-32              6.59282e-39                 0.108954                0.0148686                0.0439618              7.07429e-28              2.92846e-35              5.09085e-15              1.79611e-50              3.60408e-45              6.20331e-66              1.90463e-29              2.87181e-66              2.12308e-09                 0.508327                 0.159839                  0.16405                        1
       750              0       -3.38665              3.12218e-41              1.10023e-12              1.04539e-28              2.68431e-30               6.7021e-36                0.0562287                 0.040924                0.0459803              1.03803e-25              2.09952e-32              7.99621e-14              2.73013e-46               1.4598e-41              1.21961e-60               3.9377e-27              6.57831e-61              1.00274e-08                   0.5959                 0.109539                 0.151427                        1
       800              0       -2.40877              4.22749e-38              1.04584e-11              8.43426e-27              3.04146e-28              2.77235e-33                 0.027507                0.0871681                0.0370129              8.15036e-24              6.39696e-30              8.32702e-13              1.23964e-42              2.02219e-38              5.22069e-56              3.91588e-25              3.21799e-56              3.77148e-08                 0.642471                0.0647241                 0.141117                        1
       850              0       -1.45828              2.45171e-35              7.50229e-11              3.35192e-25              1.98471e-26              5.52806e-31                0.0134637                 0.139699                0.0207409              3.83381e-22              9.73727e-28               6.3177e-12              2.08041e-39                 1.17e-35              6.36419e-52              2.17754e-23              4.41168e-52              1.19202e-07                 0.660681                0.0321562                 0.133259                        1
       900              0      -0.798612              7.01277e-33              4.30053e-10              7.31607e-24              8.22073e-25              6.06397e-29                0.0068831                 0.175047               0.00844119              1.18306e-20              8.40024e-26              3.76006e-11              1.52306e-36              3.30419e-33              2.72285e-48              7.61718e-22              2.09436e-48              3.31183e-07                    0.667                0.0139977                  0.12863                        1
       950              0      -0.419486              1.10595e-30              2.05159e-09              1.03096e-22              2.32238e-23              4.04307e-27               0.00373242                 0.190688                0.0030022               2.5604e-19              4.51655e-24              1.84395e-10              5.54433e-34               5.1277e-31              4.82238e-45              1.82273e-20              4.06925e-45               8.3018e-07                 0.670137               0.00589498                 0.126544                        1
      1000              0      -0.179348              1.05132e-28              8.38089e-09              1.06692e-21              4.72289e-22              1.76754e-25               0.00213893                 0.196482               0.00108074              4.08525e-18              1.62663e-22              7.68889e-10               1.1144e-31              4.78878e-29              4.03503e-42              3.16555e-19              3.69911e-42              1.90277e-06                 0.672029               0.00257785                  0.12569                        1
      1050              0     0.00708388              6.47519e-27              2.99777e-08              8.71865e-21              7.23006e-21              5.38307e-24               0.00128716                 0.198611              0.000416192              5.00853e-17              4.15644e-21               2.7916e-09              1.34631e-29              2.89449e-27              1.77524e-39              4.17894e-18              1.75333e-39               4.0314e-06                 0.673157               0.00119874                 0.125327                        1
      1100              0       0.173525              2.74131e-25              9.56101e-08              5.86728e-20              8.65206e-20              1.20001e-22              0.000808854                 0.199436              0.000173283              4.88655e-16               7.8981e-20              8.99692e-09              1.04787e-27               1.2017e-25              4.48264e-37              4.35468e-17              4.73521e-37              7.97506e-06                 0.673821              0.000593938                 0.125159                        1
      1150              0       0.332468              8.37649e-24                 2.76e-07              3.34577e-19              8.35424e-19              2.03973e-21              0.000528211                 0.199777              7.77248e-05              3.90741e-15              1.16022e-18              2.61497e-08              5.56474e-26              3.59934e-24               6.9842e-35              3.69503e-16              7.84078e-35              1.48601e-05                 0.674216                0.0003121                 0.125073                        1
      1200              0       0.488746              1.92418e-22               7.3016e-07               1.6523e-18              6.68437e-18              2.73498e-20              0.000356945                 0.199927              3.72963e-05              2.62492e-14              1.36082e-17              6.94494e-08              2.11509e-24              8.10237e-23              7.13208e-33              2.61981e-15              8.46181e-33              2.62755e-05                 0.674455              0.000172899                 0.125024                        1
      1250              0       0.644376              3.43846e-21              1.78881e-06              7.19234e-18              4.53235e-17              2.97665e-19              0.000248682                 0.199996              1.90074e-05              1.51265e-13               1.3094e-16              1.70397e-07              5.98979e-23              1.41865e-21              5.02177e-31              1.58606e-14              6.26543e-31              4.43665e-05                   0.6746              0.000100402                  0.12499                        1
      1300              0        0.80028              4.92027e-20              4.09427e-06              2.80033e-17              2.65433e-16              2.69385e-18              0.000178047                 0.200029              1.02199e-05              7.61082e-13              1.05757e-15              3.89817e-07              1.30755e-21              1.98893e-20              2.54495e-29              8.35036e-14              3.32425e-29              7.19204e-05                 0.674684              6.07995e-05                 0.124961                        1
      1350              0       0.956934              5.77875e-19              8.82098e-06              9.87404e-17              1.36456e-15              2.06925e-17              0.000130633                 0.200045              5.76373e-06              3.39424e-12              7.31098e-15               8.3806e-07              2.26491e-20              2.28869e-19              9.62864e-28              3.88321e-13              1.31152e-27              0.000112439                 0.674727              3.82216e-05                 0.124931                        1
      1400              0        1.11463              5.68961e-18              1.80045e-05              3.18661e-16              6.24427e-15              1.37308e-16              9.79781e-05                 0.200053              3.39219e-06              1.35919e-11              4.39882e-14              1.70459e-06              3.19133e-19              2.20791e-18              2.80627e-26              1.61645e-12              3.97171e-26               0.00017019                 0.674735              2.48464e-05                 0.124896                        1
      1450              0         1.2736              4.78248e-17              3.50088e-05              9.49891e-16              2.57409e-14              7.99109e-16              7.49604e-05                 0.200056              2.07423e-06              4.94179e-11              2.33691e-13              3.29917e-06              3.73695e-18              1.81859e-17              6.47308e-25              6.09268e-12              9.48831e-25              0.000250244                 0.674712               1.6645e-05                  0.12485                        1
      1500              0        1.43408              3.48666e-16              6.51618e-05              2.63609e-15              9.65907e-14              4.13291e-15              5.83896e-05                 0.200055               1.3127e-06               1.6472e-10              1.10996e-12              6.10654e-06              3.70462e-17              1.29933e-16              1.20971e-23              2.10012e-11              1.83109e-23              0.000358475                 0.674653               1.1457e-05                 0.124792                        1
      1550              0        1.59636              2.23527e-15              0.000116586              6.85766e-15              3.32924e-13              1.92138e-14              4.62285e-05                 0.200051              8.56925e-07              5.07593e-10              4.76482e-12              1.08562e-05              3.15986e-16              8.16436e-16              1.86941e-22              6.67766e-11              2.91418e-22              0.000501545                  0.67455              8.08158e-06                 0.124715                        1
      1600              0        1.76079              1.27541e-14              0.000201246              1.68242e-14              1.06241e-12              8.11005e-14              3.71453e-05                 0.200043               5.7532e-07              1.45675e-09               1.8663e-11              1.86076e-05              2.35195e-15               4.5664e-15              2.43182e-21              1.97348e-10              3.89458e-21              0.000686857                 0.674391              5.82848e-06                 0.124615                        1
      1650              0        1.92786              6.54582e-14              0.000336226              3.91319e-14              3.16082e-12              3.13546e-13              3.02504e-05                 0.200029               3.9622e-07              3.91889e-09               6.7256e-11              3.08516e-05              1.54675e-14              2.29759e-14              2.70505e-20              5.45689e-10              4.44061e-20              0.000922483                 0.674158              4.28908e-06                 0.124488                        1
      1700              0        2.09821              3.05024e-13              0.000545241              8.66941e-14               8.8212e-12              1.11895e-12              2.49379e-05                 0.200009               2.7927e-07              9.93842e-09              2.24638e-10              4.96246e-05               9.0866e-14              1.04972e-13              2.60883e-19              1.42003e-09              4.38081e-19               0.00121706                 0.673824              3.21462e-06                 0.124327                        1
      1750              0        2.27266              1.30123e-12              0.000860365              1.83697e-13              2.32185e-11              3.71128e-12              2.07873e-05                 0.199977               2.0104e-07              2.38801e-08              6.99933e-10              7.76352e-05              4.81491e-13              4.39094e-13              2.20835e-18              3.49563e-09              3.78606e-18               0.00157966                 0.673357              2.44986e-06                 0.124125                        1
      1800              0        2.45228              5.11939e-12               0.00132397              3.73645e-13              5.79179e-11              1.15102e-11              1.75022e-05                  0.19993              1.47542e-07              5.46088e-08              2.04622e-09              0.000118397              2.32127e-12                1.694e-12              1.65872e-17              8.17725e-09              2.89826e-17               0.00201962                 0.672712              1.89564e-06                 0.123876                        1
      1850              0        2.63841              1.86973e-11               0.00199078              7.31939e-13              1.37508e-10              3.35609e-11              1.48702e-05                 0.199864              1.10206e-07              1.19323e-07              5.64154e-09               0.00017636              1.02602e-11              6.06693e-12              1.11629e-16              1.82514e-08              1.98464e-16               0.00254638                 0.671836              1.48723e-06                  0.12357                        1
      1900              0        2.83275              6.37656e-11               0.00293009              1.38488e-12               3.1192e-10              9.24421e-11              1.27367e-05                  0.19977              8.36564e-08              2.50015e-07              1.47358e-08              0.000257037              4.18666e-11              2.02888e-11              6.78981e-16              3.90076e-08              1.22644e-15               0.00316919                  0.67066              1.18159e-06                   0.1232                        1
      1950              0        3.03734              2.04141e-10               0.00422785              2.53745e-12              6.78347e-10              2.41582e-10              1.09878e-05                  0.19964              6.44474e-08              5.03927e-07              3.66145e-08              0.000367103              1.58687e-10              6.36846e-11              3.76184e-15              8.00839e-08              6.89388e-15               0.00389691                 0.669101              9.49531e-07                 0.122755                        1
      2000              0        3.25466              6.16412e-10               0.00598879              4.51277e-12               1.4187e-09              6.01298e-10              9.53871e-06                 0.199463               5.0324e-08              9.79875e-07              8.68606e-08              0.000514466              5.61817e-10              1.88508e-10              1.91184e-14              1.58384e-07              3.54998e-14               0.00473763                 0.667061              7.70943e-07                 0.122224                        1
      2050              0        3.48766              1.76306e-09               0.00833811              7.80641e-12              2.86131e-09              1.43038e-09              8.32511e-06                 0.199228              3.97835e-08              1.84284e-06               1.9738e-07              0.000708279              1.86726e-09              5.28401e-10              8.96935e-14              3.02505e-07              1.68547e-13               0.00569833                  0.66442              6.31746e-07                 0.121596                        1
      2100              0        3.73977              4.79518e-09                0.0114228              1.31593e-11              5.57906e-09              3.26206e-09              7.29809e-06                 0.198919              3.18065e-08              3.35989e-06              4.30893e-07              0.000958876              5.85246e-09              1.40788e-09              3.90676e-13              5.59204e-07              7.42118e-13               0.00678446                 0.661043               5.2194e-07                 0.120859                        1
      2150              0        4.01494              1.24453e-08                0.0154124              2.16531e-11              1.05404e-08              7.15194e-09              6.41992e-06                  0.19852              2.56901e-08              5.95098e-06              9.06073e-07               0.00127761              1.73695e-08              3.57773e-09              1.58808e-12              1.00246e-06              3.04627e-12               0.00799947                 0.656775              4.34327e-07                 0.120001                        1
      2200              0        4.31764              3.09216e-08                0.0204984              3.48305e-11              1.93349e-08              1.51124e-08              5.66131e-06                  0.19801              2.09427e-08              1.02588e-05              1.83955e-06               0.00167656              4.89974e-08              8.69785e-09              6.05314e-12              1.74571e-06              1.17136e-11               0.00934429                 0.651442              3.63658e-07                 0.119008                        1
      2250              0        4.65287              7.37621e-08                0.0268929              5.48456e-11              3.45002e-08              3.08454e-08              4.99938e-06                  0.19737              1.72151e-08              1.72423e-05              3.61354e-06               0.00216806              1.31819e-07              2.02846e-08              2.17273e-11               2.9575e-06               4.2377e-11                0.0108168                 0.644855              3.06065e-07                 0.117868                        1
      2300              0        5.02612              1.69386e-07                0.0348253               8.4643e-11              5.99826e-08              6.09356e-08              4.41618e-06                 0.196575              1.42565e-08              2.82979e-05              6.88099e-06               0.00276409              3.39275e-07               4.5493e-08              7.37314e-11              4.88072e-06              1.44817e-10                0.0124112                 0.636811              2.58664e-07                 0.116569                        1
      2350              0        5.44329              3.75361e-07                0.0445373              1.28168e-10               1.0177e-07              1.16723e-07              3.89764e-06                 0.195601              1.18841e-08               4.5414e-05              1.27234e-05               0.00347541              8.37783e-07              9.83341e-08                2.374e-10              7.85468e-06              4.69186e-10                0.0141176                 0.627099              2.19288e-07                 0.115098                        1
      2400              0        5.91067              8.04481e-07                0.0562756              1.90604e-10              1.68737e-07              2.17144e-07              3.43277e-06                 0.194422              9.96349e-09              7.13609e-05              2.28793e-05               0.00431052              1.98999e-06              2.05263e-07              7.27643e-10              1.23384e-05              1.44595e-09                0.0159213                 0.615509              1.86293e-07                 0.113448                        1
      2450              0        6.43481              1.67097e-06                0.0702822              2.78631e-10               2.7375e-07              3.92882e-07              3.01305e-06                 0.193015              8.39474e-09               0.00010992              4.00643e-05                0.0052744              4.55772e-06              4.14515e-07               2.1295e-09              1.89322e-05              4.25186e-09                0.0178028                 0.601838              1.58423e-07                 0.111608                        1
      2500              0        7.02239              3.36995e-06                0.0867815              4.00701e-10              4.35075e-07              6.92242e-07              2.63201e-06                 0.191354               7.1027e-09              0.000166153              6.84015e-05               0.00636716              1.00875e-05              8.11118e-07              5.96711e-09              2.83941e-05              1.19632e-08                0.0197372                 0.585903              1.34713e-07                 0.109576                        1
      2550              0         7.6801              6.61052e-06                 0.105966              5.67307e-10              6.78123e-07              1.18911e-06              2.28484e-06                  0.18942              6.03046e-09              0.000246711              0.000113979               0.00758256               2.1619e-05              1.54014e-06              1.60506e-08              4.16429e-05              3.22913e-08                0.0216943                 0.567553              1.14419e-07                 0.107348                        1
      2600              0        8.41449              1.26328e-05                 0.127977              7.91251e-10              1.03759e-06              1.99339e-06              1.96811e-06                 0.187193              5.13452e-09               0.00036018              0.000185539               0.00890666              4.49493e-05              2.84134e-06              4.15416e-08              5.97435e-05              8.38186e-08                0.0236391                 0.546685              9.69618e-08                 0.104928                        1
      2650              0        9.23175              2.35539e-05                 0.152888              1.08787e-09                 1.56e-06              3.26394e-06              1.67949e-06                 0.184663              4.38136e-09              0.000517458              0.000295294                0.0103167               9.0823e-05              5.09871e-06              1.03679e-07              8.38641e-05              2.09688e-07                0.0255321                 0.523256              8.18912e-08                 0.102322                        1
