   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -3.39531             2.02943e-116              1.37453e-37              2.99489e-76               1.3091e-79               2.262e-100                 0.275558              5.22527e-12               0.00140175               2.0607e-71              1.15574e-93              1.72519e-41             2.50683e-134             1.35773e-118             8.62353e-172              3.95267e-78              2.0292e-173              2.82517e-24              7.93182e-05                 0.228212                 0.494748                        1
       350              0       -3.31507              1.38301e-98              1.08086e-31               5.6772e-65               7.5481e-68              4.85044e-85                 0.277001              1.11601e-09               0.00323212               1.6937e-60              4.18273e-79              7.08369e-35             1.99874e-113             2.74541e-100              2.0417e-145              5.43266e-66             9.92662e-147              1.69591e-20              0.000688648                 0.224481                 0.494597                        1
       400              0       -3.22831              3.35623e-85              2.93965e-27               1.6183e-56              5.05853e-59              1.56808e-73                  0.27769               6.1511e-08               0.00577437              2.62336e-52              3.58882e-68              6.64204e-30              9.73433e-98              1.53548e-86             1.29156e-125              7.26998e-57             1.09136e-126              1.17028e-17               0.00359657                 0.219061                 0.493878                        1
       450              0       -3.13146              8.76991e-75              8.42965e-24              6.06827e-50              3.73689e-52              1.42324e-64                  0.27455              1.37524e-06               0.00878233              6.16954e-46              1.16658e-59              4.96003e-26              1.56881e-85              7.74895e-76             3.34768e-110              9.40989e-50             4.37159e-111              1.89721e-15                0.0132469                 0.211929                  0.49149                        1
       500              0       -3.01586              1.91032e-66              4.96093e-21              1.10365e-44               1.1722e-46              2.09212e-57                 0.262349              1.64262e-05                0.0121029              7.70049e-41               7.5639e-53              6.20193e-23              9.20273e-76              2.85246e-67               7.3033e-98              4.64494e-44              1.35548e-98              1.10433e-13                0.0376184                 0.202456                 0.485457                        1
       550              0       -2.86625               1.2769e-59              9.11775e-19              2.23954e-40               3.6787e-42              1.51382e-51                 0.234978              0.000125271                0.0157997              1.13024e-36              2.80609e-47              2.06604e-20              9.05176e-68              2.88736e-60              9.19599e-88              2.07733e-39              2.28004e-88              3.00628e-12                0.0864444                   0.1893                 0.473352                        1
       600              0       -2.66217              6.24733e-54              6.89433e-17              8.84832e-37              2.04511e-38              1.12686e-46                 0.189794              0.000688104                0.0201761              3.31643e-33               1.1981e-42              2.47764e-18              4.13764e-61              1.94004e-54               2.4155e-79              1.48651e-35              7.63182e-80              4.54448e-11                 0.164556                 0.170897                 0.453889                        1
       650              0       -2.38505              4.08558e-49              2.59075e-15              9.96526e-34              2.99915e-35              1.43507e-42                 0.133452               0.00294709                 0.025543              2.81706e-30              9.53623e-39              1.31233e-16              1.78155e-55              1.59046e-49              3.22464e-72              2.51462e-32              1.25142e-72              4.29885e-10                 0.262702                 0.146306                 0.429051                        1
       700              0       -2.02702              5.49238e-45              5.56183e-14              4.12024e-31              1.54812e-32              4.51695e-39                0.0810235                0.0102173                0.0311388              9.06102e-28              2.00638e-35               3.5845e-15              1.19741e-50              2.46927e-45              4.13554e-66              1.34107e-29              1.91454e-66              2.79464e-09                 0.357917                 0.116006                 0.403697                        1
       750              0       -1.58598              2.08145e-41              7.63253e-13              7.28141e-29              3.47791e-30               4.6494e-36                0.0439517                0.0285047                0.0334611              1.34491e-25              1.45649e-32              5.77228e-14              1.82009e-46               1.0127e-41              8.13075e-61              2.84253e-27              4.38554e-61              1.35192e-08                 0.430167                0.0826157                   0.3813                        1
       800              0       -1.06951              2.81833e-38              7.33803e-12              5.99629e-27               3.9778e-28              1.94518e-33                0.0224992                0.0619716                0.0280617              1.06595e-23              4.48834e-30              6.14901e-13              8.26426e-43              1.41884e-38              3.48046e-56              2.89165e-25              2.14533e-56              5.19131e-08                 0.474427                0.0509692                 0.362071                        1
       850              0       -0.55463              1.63448e-35              5.31142e-11              2.44992e-25              2.61357e-26              3.91372e-31                0.0114158                 0.102106                0.0166202              5.04856e-22              6.89373e-28               4.7499e-12              1.38694e-39              8.28327e-36               4.2428e-52              1.63716e-23              2.94112e-52              1.66698e-07                 0.496726                0.0265057                 0.346626                        1
       900              0      -0.167193              4.67518e-33              3.06107e-10              5.48146e-24              1.08632e-24              4.31627e-29               0.00596298                 0.131152               0.00710773              1.56334e-20               5.9792e-26              2.85752e-11              1.01537e-36              2.35189e-33              1.81523e-48               5.7888e-22              1.39624e-48              4.67262e-07                 0.506898                0.0119553                 0.336924                        1
       950              0      0.0755796              7.37299e-31              1.46398e-09              7.83092e-23              3.07283e-23              2.88507e-27               0.00326618                 0.144842                0.0025982              3.38778e-19              3.22293e-24              1.40841e-10              3.69622e-34              3.65903e-31              3.21492e-45               1.3922e-20              2.71283e-45              1.17575e-06                  0.51185               0.00513008                 0.332312                        1
      1000              0       0.239286               7.0088e-29              5.98707e-09              8.15107e-22              6.25191e-22              1.26268e-25               0.00188004                 0.150108              0.000946192              5.40784e-18              1.16202e-22              5.88577e-10              7.42936e-32              3.42096e-29              2.69002e-42               2.4232e-19              2.46607e-42              2.69902e-06                 0.514432               0.00226137                  0.33037                        1
      1050              0       0.370965               4.3168e-27              2.14261e-08              6.67631e-21               9.5725e-21              3.84747e-24               0.00113366                 0.152086              0.000366066              6.63123e-17              2.97075e-21              2.13911e-09              8.97539e-30              2.06879e-27              1.18349e-39              3.20219e-18              1.16889e-39              5.72236e-06                 0.515818               0.00105508                 0.329535                        1
      1100              0       0.490528              1.82754e-25              6.83528e-08              4.49721e-20              1.14562e-19              8.57903e-23              0.000713107                 0.152866              0.000152707              6.47027e-16              5.64645e-20              6.89748e-09              6.98578e-28              8.59108e-26              2.98842e-37              3.33851e-17              3.15681e-37              1.13239e-05                 0.516584              0.000523523                  0.32915                        1
      1150              0       0.605576              5.58433e-24              1.97341e-07               2.5656e-19              1.10623e-18              1.45841e-21              0.000465927                 0.153193              6.85547e-05              5.17403e-15              8.29565e-19              2.00528e-08              3.70982e-26              2.57354e-24              4.65613e-35              2.83352e-16              5.22719e-35              2.11038e-05                 0.517022              0.000275288                 0.328954                        1
      1200              0       0.719087              1.28279e-22              5.22105e-07              1.26728e-18              8.85144e-18              1.95566e-20              0.000314945                  0.15334              3.29096e-05              3.47591e-14              9.73063e-18              5.32647e-08              1.41006e-24              5.79364e-23              4.75472e-33              2.00928e-15              5.64121e-33              3.73194e-05                 0.517278              0.000152559                 0.328844                        1
      1250              0        0.83232               2.2923e-21              1.27915e-06              5.51695e-18              6.00191e-17              2.12855e-19              0.000219454                 0.153409              1.67753e-05               2.0031e-13              9.36331e-17              1.30697e-07               3.9932e-23              1.01445e-21              3.34785e-31              1.21653e-14              4.17695e-31              6.30185e-05                 0.517428              8.86066e-05                 0.328774                        1
      1300              0       0.945855              3.28018e-20               2.9278e-06              2.14814e-17              3.51507e-16              1.92636e-18              0.000157133                 0.153443              9.02082e-06              1.00789e-12              7.56261e-16              2.99007e-07                8.717e-22              1.42228e-20              1.69663e-29              6.40509e-14              2.21617e-29              0.000102162                 0.517512              5.36618e-05                 0.328719                        1
      1350              0           1.06               3.8525e-19              6.30789e-06              7.57466e-17              1.80714e-15              1.47972e-17               0.00011529                 0.153461              5.08781e-06              4.49511e-12              5.22808e-15              6.42836e-07              1.50994e-20              1.63664e-19              6.41909e-28              2.97862e-13              8.74346e-28              0.000159724                  0.51755              3.37359e-05                 0.328668                        1
