   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -6.44727              6.0883e-116              3.52994e-37              6.58429e-76              1.39021e-79             5.80908e-100                 0.443919              1.14878e-11               0.00225842              2.18837e-71              2.96807e-93              3.79265e-41             7.52049e-134              3.4868e-118             2.58706e-171              8.68954e-78             6.08759e-173              2.56828e-24              0.000174373                 0.367665                 0.185983                        1
       350              0       -6.33136              4.14904e-98              2.77525e-31              1.24814e-64              8.01426e-68              1.24541e-84                 0.445903              2.45356e-09               0.00520747               1.7983e-60              1.07397e-78              1.55668e-34             5.99622e-113             7.04917e-100              6.1251e-145              1.19386e-65             2.97799e-146              1.54113e-20               0.00151334                 0.361517                 0.185859                        1
       400              0       -6.20235              1.00687e-84              7.54111e-27              3.55774e-56              5.36627e-59              4.02261e-73                 0.445402              1.35228e-07               0.00930282              2.78296e-52              9.20642e-68              1.45699e-29               2.9203e-97              3.93898e-86             3.87468e-125              1.59474e-56             3.27409e-126              1.06159e-17               0.00788942                  0.35214                 0.185266                        1
       450              0       -6.06052              2.63097e-74              2.15598e-23              1.33375e-49              3.95285e-52              3.64008e-64                 0.435107              3.02265e-06                0.0141418              6.52609e-46              2.98366e-59              1.08151e-25              4.70643e-85              1.98188e-75              1.0043e-109              2.05179e-49             1.31148e-110              1.71091e-15                0.0288842                 0.338551                 0.183313                        1
       500              0       -5.89885              5.73097e-66              1.25899e-20               2.4241e-44              1.23109e-46               5.3094e-57                  0.40304               3.6079e-05                0.0194627              8.08733e-41              1.91957e-52              1.33144e-22              2.76082e-75              7.23898e-67              2.19099e-97              9.97183e-44              4.06643e-98              9.81122e-14                0.0807598                 0.318216                 0.178485                        1
       550              0       -5.69524              3.83071e-59              2.27586e-18              4.91681e-40              3.81033e-42              3.77861e-51                 0.337828              0.000275026                 0.025385              1.17068e-36              7.00423e-47              4.29075e-20              2.71553e-67              7.20707e-60               2.7588e-87               4.3142e-39              6.84011e-88              2.59081e-12                 0.179528                 0.287706                 0.169278                        1
       600              0       -5.40233               1.8742e-53              1.67087e-16              1.94659e-36              2.07597e-38                2.731e-46                 0.242504                0.0015138                0.0325492              3.36647e-33              2.90363e-42              4.85085e-18              1.24129e-60              4.70176e-54              7.24651e-79              2.91037e-35              2.28954e-79              3.72663e-11                 0.322176                 0.245361                 0.155896                        1
       650              0       -4.94354              1.22567e-48              6.02045e-15              2.19817e-33              2.98234e-35              3.33486e-42                 0.144136               0.00650079                0.0414281              2.80126e-30              2.21605e-38              2.36227e-16              5.34466e-55              3.69595e-49              9.67391e-72              4.52644e-32              3.75426e-72              3.31125e-10                 0.472876                 0.193641                 0.141418                        1
       700              0       -4.24166              1.64771e-44              1.23506e-13              8.95964e-31              1.51706e-32              1.00303e-38                0.0729667                 0.022218                0.0490812              8.87927e-28              4.45536e-35              5.89178e-15              3.59222e-50              5.48324e-45              1.24066e-65              2.20428e-29              5.74362e-66               2.0271e-09                 0.588301                 0.138212                 0.129221                        1
       750              0       -3.27208              6.24435e-41              1.63026e-12              1.49947e-28              3.37518e-30              9.93082e-36                0.0338818                0.0587002                0.0473004              1.30519e-25              3.11096e-32              8.77815e-14              5.46026e-46              2.16306e-41              2.43923e-60              4.32276e-27              1.31566e-60              9.34109e-09                 0.654173                0.0862422                 0.119702                        1
       800              0       -2.16043              8.45499e-38              1.52212e-11              1.11107e-26              3.83259e-28              4.03488e-33                0.0154271                 0.114829                 0.032115              1.02704e-23              9.31014e-30              8.81912e-13              2.47928e-42              2.94309e-38              1.04414e-55               4.1473e-25              6.43599e-56               3.4584e-08                 0.680439                0.0451506                  0.11204                        1
       850              0       -1.24916              4.90343e-35              1.08168e-10              3.95946e-25              2.51263e-26              7.97035e-31               0.00727268                  0.16502                0.0144705              4.85356e-22              1.40392e-27              6.56658e-12              4.16082e-39               1.6869e-35              1.27284e-51              2.26332e-23              8.82337e-52               1.0879e-07                 0.686707                0.0197405                 0.106789                        1
       900              0      -0.716881              1.40255e-32              6.17923e-10              7.97012e-24              1.04654e-24              8.71303e-29               0.00366725                 0.190696               0.00500895              1.50608e-20              1.20699e-25              3.88139e-11              3.04612e-36              4.74763e-33              5.44569e-48              7.86299e-22              4.18872e-48              3.02897e-07                 0.688525               0.00787061                 0.104232                        1
       950              0      -0.418512               2.2119e-30              2.94375e-09              1.08183e-22              2.96646e-23              5.80127e-27               0.00197763                 0.200098                0.0016529               3.2705e-19              6.48064e-24               1.8982e-10              1.10887e-33              7.35756e-31              9.64477e-45              1.87635e-20              8.13849e-45               7.6078e-07                 0.689853               0.00318393                 0.103234                        1
      1000              0      -0.210703              2.10264e-28              1.20165e-08              1.10391e-21              6.04194e-22               2.5343e-25               0.00112996                 0.203294              0.000578489              5.22621e-18              2.33226e-22              7.90337e-10              2.22881e-31              6.86616e-29              8.07006e-42              3.25385e-19              7.39822e-42              1.74507e-06                 0.690775               0.00137081                  0.10285                        1
      1050              0     -0.0341095              1.29504e-26              4.29637e-08              8.97409e-21              9.25552e-21              7.71497e-24              0.000678823                  0.20443              0.000220468              6.41165e-17              5.95696e-21              2.86702e-09              2.69262e-29              4.14835e-27              3.55048e-39              4.29184e-18              3.50667e-39              3.69818e-06                 0.691343                0.0006336                 0.102691                        1
      1100              0       0.131631              5.48262e-25              1.36993e-07              6.02696e-20              1.10793e-19              1.71942e-22               0.00042615                 0.204864              9.14216e-05              6.25744e-16              1.13167e-19              9.23539e-09              2.09573e-27              1.72183e-25              8.96527e-37               4.4701e-17              9.47043e-37              7.31633e-06                 0.691681              0.000313137                 0.102617                        1
      1150              0         0.2937               1.6753e-23              3.95403e-07              3.43395e-19              1.06996e-18              2.92215e-21              0.000278127                 0.205042              4.09378e-05              5.00437e-15              1.66216e-18              2.68349e-08              1.11295e-25              5.15648e-24              1.39684e-34              3.79184e-16              1.56816e-34              1.36327e-05                 0.691882              0.000164359                 0.102578                        1
      1200              0       0.454827              3.84836e-22              1.04595e-06              1.69522e-18              8.56162e-18              3.91784e-20               0.00018788                  0.20512              1.96296e-05               3.3621e-14              1.94937e-17              7.12562e-08              4.23019e-24              1.16066e-22              1.42642e-32              2.68797e-15              1.69236e-32               2.4105e-05                 0.692002              9.10029e-05                 0.102554                        1
      1250              0       0.616153              6.87691e-21              2.56231e-06              7.37791e-18              5.80547e-17              4.26379e-19              0.000130865                 0.205156              1.00004e-05              1.93754e-13               1.8756e-16               1.7481e-07              1.19796e-22              2.03208e-21              1.00435e-30              1.62713e-14              1.25309e-30              4.07011e-05                 0.692072              5.28299e-05                 0.102535                        1
      1300              0       0.778213              9.84054e-20              5.86446e-06              2.87234e-17              3.39999e-16              3.85855e-18               9.3681e-05                 0.205173              5.37614e-06              9.74888e-13              1.51481e-15              3.99884e-07               2.6151e-21              2.84886e-20               5.0899e-29              8.56601e-14              6.64851e-29              6.59776e-05                 0.692108              3.19867e-05                 0.102516                        1
      1350              0       0.941308              1.15575e-18              1.26345e-05              1.01275e-16              1.74791e-15              2.96383e-17              6.87268e-05                 0.205181              3.03173e-06              4.34779e-12              1.04717e-14              8.59662e-07              4.52981e-20              3.27815e-19              1.92573e-27               3.9833e-13              2.62304e-27              0.000103146                 0.692118              2.01066e-05                 0.102493                        1
      1400              0        1.10565              1.13792e-17              2.57878e-05              3.26834e-16              7.99846e-15              1.96665e-16              5.15435e-05                 0.205184              1.78421e-06              1.74103e-11              6.30043e-14              1.74847e-06              6.38265e-19              3.16239e-18              5.61254e-26              1.65806e-12              7.94342e-26              0.000156122                 0.692103              1.30698e-05                 0.102463                        1
      1450              0        1.27147              9.56496e-17              5.01424e-05              9.74239e-16              3.29719e-14              1.14455e-15              3.94324e-05                 0.205184              1.09097e-06              6.32999e-11              3.34711e-13                3.384e-06              7.47389e-18              2.60473e-17              1.29462e-24              6.24935e-12              1.89766e-24              0.000229552                 0.692061               8.7553e-06                 0.102423                        1
      1500              0        1.43901              6.97332e-16              9.33289e-05              2.70363e-15              1.23721e-13              5.91942e-15               3.0714e-05                  0.20518              6.90412e-07              2.10986e-10              1.58975e-12              6.26341e-06              7.40924e-17              1.86099e-16              2.41942e-23              2.15407e-11              3.66219e-23              0.000328822                 0.691984              6.02621e-06                  0.10237                        1
      1550              0        1.60864              4.47055e-15               0.00016698              7.03326e-15              4.26422e-13              2.75188e-14              2.43158e-05                 0.205173              4.50685e-07              6.50143e-10              6.82439e-12              1.11347e-05              6.31972e-16              1.16933e-15              3.73882e-22              6.84901e-11              5.82837e-22              0.000460034                  0.69186               4.2506e-06                   0.1023                        1
