   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0        -4.5715             1.52208e-115              6.59909e-37              9.20595e-76               3.0731e-79              1.08599e-99                 0.347018              1.60619e-11               0.00176597              4.83747e-71              5.54869e-93              5.30197e-41             1.88012e-133             6.51845e-118             6.46765e-171              1.21476e-77              1.5219e-172              4.24538e-24              0.000243766                 0.287452                  0.36352                        1
       350              0       -4.47805              1.03726e-97              5.18637e-31              1.74584e-64              1.77135e-67              2.32741e-84                 0.348069              3.43193e-09               0.00407538              3.97468e-60              2.00702e-78              2.17461e-34             1.49905e-112              1.31734e-99             1.53128e-144              1.66777e-65             7.44496e-146              2.54624e-20               0.00211407                 0.282561                  0.36318                        1
       400              0       -4.37295              2.51717e-84               1.4069e-26              4.98555e-56              1.18533e-58              7.50473e-73                 0.345334              1.89499e-07               0.00730721              6.14715e-52              1.71758e-67              2.02848e-29              7.30075e-97               7.3487e-86             9.68671e-125              2.22026e-56             8.18523e-126              1.74989e-17                 0.010984                 0.274807                 0.361568                        1
       450              0       -4.24706              6.57743e-74              3.99987e-23              1.87967e-49               8.7139e-52              6.75325e-64                 0.329901              4.25987e-06                0.0112352              1.43865e-45              5.53543e-59                1.489e-25              1.17661e-84              3.67687e-75             2.51076e-109              2.82485e-49             3.27869e-110              2.79893e-15                0.0397671                 0.262758                 0.356335                        1
       500              0       -4.07795              1.43274e-65              2.30266e-20              3.46471e-44              2.70197e-46              9.71077e-57                 0.288642              5.15668e-05                0.0159036              1.77499e-40              3.51084e-52              1.78155e-22              6.90204e-75              1.32399e-66              5.47748e-97              1.33429e-43              1.01661e-97              1.57537e-13                 0.108061                 0.243429                 0.343911                        1
       550              0       -3.82655              9.57677e-59              4.04211e-18              7.23379e-40              8.31326e-42              6.71111e-51                 0.215142              0.000404628                0.0219788              2.55415e-36              1.24401e-46                5.414e-20              6.78882e-67              1.28003e-59              6.89699e-87              5.44359e-39              1.71003e-87              4.01574e-12                 0.226525                 0.213637                 0.322313                        1
       600              0       -3.45224              4.68549e-53              2.83129e-16              2.98932e-36              4.52198e-38              4.62769e-46                 0.127958                0.0023247                0.0307043                7.333e-33              4.92021e-42              5.57138e-18              3.10323e-60              7.96714e-54              1.81163e-78              3.34266e-35              5.72386e-79              5.50207e-11                 0.370031                 0.173105                 0.295877                        1
       650              0       -2.94943              3.06419e-48              9.67248e-15              3.46302e-33              6.55114e-35               5.3578e-42                0.0614593                0.0102414                0.0411286              6.15339e-30              3.56032e-38              2.43897e-16              1.33616e-54              5.93794e-49              2.41848e-71              4.67342e-32              9.38566e-72              4.67435e-10                 0.488231                 0.125988                 0.272951                        1
       700              0       -2.32607              4.11928e-44              1.90271e-13              1.36445e-30              3.37544e-32              1.54526e-38                0.0263057                0.0338355                0.0455313              1.97562e-27              6.86387e-35              5.59344e-15              8.98055e-50              8.44742e-45              3.10165e-65              2.09267e-29               1.4359e-65              2.77938e-09                 0.558512                 0.079929                 0.255886                        1
       750              0       -1.58333              1.56109e-40              2.44564e-12              2.05164e-28              7.58663e-30              1.48977e-35                0.0109821                0.0803163                0.0354203              2.93376e-25              4.66692e-32              7.90194e-14              1.36507e-45              3.24492e-41              6.09807e-60              3.89127e-27              3.28915e-60              1.25993e-08                 0.588875                0.0424888                 0.241917                        1
