   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -3.07841             2.02943e-116              1.34757e-37              2.87856e-76              1.35907e-79             2.21763e-100                 0.254565              5.02232e-12               0.00129497              2.13936e-71              1.13307e-93              1.65817e-41             2.50683e-134              1.3311e-118             8.62353e-172              3.79913e-78              2.0292e-173              2.87547e-24               7.6237e-05                 0.210828                 0.533236                        1
       350              0        -3.0013              1.38301e-98              1.05965e-31              5.45684e-65              7.83624e-68              4.75526e-85                  0.25589              1.07269e-09               0.00298608              1.75836e-60              4.10065e-79               6.8084e-35             1.99874e-113             2.69154e-100              2.0417e-145              5.22153e-66             9.92662e-147               1.7261e-20              0.000661886                 0.207383                  0.53308                        1
       400              0       -2.91821              3.35623e-85              2.88186e-27              1.55567e-56              5.25178e-59              1.53726e-73                 0.256488              5.91305e-08               0.00533609              2.72358e-52              3.51827e-68              6.38344e-30              9.73433e-98              1.50529e-86             1.29156e-125              6.98693e-57             1.09136e-126               1.1911e-17               0.00345654                 0.202385                 0.532334                        1
       450              0       -2.82531              8.76991e-75              8.26291e-24              5.83565e-50              3.88002e-52              1.39508e-64                 0.253465              1.32253e-06               0.00812192              6.40585e-46              1.14351e-59              4.76576e-26              1.56881e-85              7.59568e-76             3.34768e-110              9.04133e-50             4.37159e-111              1.93091e-15                 0.012728                 0.195822                 0.529862                        1
       500              0       -2.71381              1.91032e-66               4.8613e-21              1.06233e-44               1.2174e-46              2.05011e-57                 0.241901              1.58111e-05                0.0112135              7.99744e-41              7.41199e-53              5.95533e-23              9.20273e-76              2.79518e-67               7.3033e-98              4.46025e-44              1.35548e-98              1.12389e-13                0.0361226                 0.187126                 0.523621                        1
       550              0       -2.56869               1.2769e-59              8.92888e-19              2.15962e-40              3.82264e-42              1.48246e-51                 0.216105                0.0001208                0.0146922              1.17446e-36              2.74797e-47              1.98133e-20              9.05176e-68              2.82755e-60              9.19599e-88              1.99216e-39              2.28004e-88              3.05921e-12                0.0829002                 0.175061                  0.51112                        1
       600              0       -2.37096              6.24733e-54              6.74394e-17              8.55734e-37              2.12729e-38              1.10228e-46                 0.173767              0.000665476                0.0188709              3.44968e-33              1.17196e-42              2.37073e-18              4.13764e-61              1.89772e-54               2.4155e-79              1.42237e-35              7.63182e-80              4.62396e-11                 0.157455                 0.158145                 0.491097                        1
       650              0       -2.10548              4.08558e-49              2.53024e-15              9.67004e-34              3.12457e-35              1.40156e-42                 0.121414               0.00285979                 0.024052              2.93486e-30               9.3135e-39              1.25175e-16              1.78155e-55              1.55332e-49              3.22464e-72              2.39853e-32              1.25142e-72              4.37401e-10                 0.250573                 0.135417                 0.465684                        1
       700              0       -1.76906              5.49238e-45              5.42301e-14              4.00631e-31              1.61601e-32              4.40421e-39                0.0732323               0.00993482                0.0294406              9.45838e-28               1.9563e-35              3.40781e-15              1.19741e-50              2.40764e-45              4.13554e-66              1.27496e-29              1.91454e-66              2.84439e-09                 0.340274                 0.107238                 0.439881                        1
       750              0       -1.36232              2.08145e-41              7.43335e-13              7.07236e-29              3.63746e-30              4.52806e-36                0.0395402                0.0276864                0.0315674              1.40661e-25              1.41848e-32              5.47494e-14              1.82009e-46              9.86269e-42              8.13075e-61              2.69611e-27              4.38554e-61              1.37704e-08                 0.408008                0.0761103                 0.417088                        1
       800              0      -0.891827              2.81833e-38              7.14303e-12              5.79705e-27              4.16745e-28              1.89349e-33                0.0202012                0.0599125                0.0262279              1.11678e-23              4.36907e-30              5.82655e-13              8.26426e-43              1.38114e-38              3.48046e-56                 2.74e-25              2.14533e-56              5.29428e-08                 0.449547                0.0466916                  0.39742                        1
