   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -7.71324             1.52208e-114              4.06397e-36              3.49339e-75               4.6633e-79              6.68791e-99                 0.499134              6.09502e-11               0.00254297              7.34066e-71              3.41709e-92               2.0108e-40             1.88012e-132             4.01431e-117             6.46765e-170              4.60706e-77              1.5219e-171              3.96734e-24              0.000924497                 0.413691                0.0837071                        1
       350              0       -7.58184              1.03726e-96              3.18842e-30              6.62988e-64              2.68444e-67              1.43082e-83                 0.497179              1.30328e-08               0.00587718              6.02357e-60              1.23385e-77              8.21875e-34             1.49905e-111              8.09862e-99             1.53128e-143              6.30317e-65             7.44496e-145              2.37226e-20               0.00798994                 0.405543                0.0834112                        1
       400              0       -7.43896              2.51717e-83              8.57835e-26              1.89925e-55              1.78545e-58               4.5759e-72                 0.477316              7.21898e-07                0.0106045              9.25936e-52              1.04727e-66              7.54145e-29              7.30075e-96              4.48076e-85             9.68671e-124              8.25442e-56             8.18523e-125              1.60716e-17                0.0408359                 0.389207                0.0820359                        1
       450              0       -7.28593              6.57743e-73              2.37361e-22              7.23788e-49              1.28825e-51              4.00753e-63                 0.409107              1.64031e-05                0.0166587              2.12688e-45              3.28485e-58              5.24351e-25              1.17661e-83              2.18194e-74             2.51076e-108               9.9477e-49             3.27869e-109              2.45551e-15                  0.14004                 0.356297                0.0778813                        1
       500              0       -7.08095              1.43274e-64              1.27759e-19              1.38033e-43              3.84954e-46              5.38787e-56                 0.273536              0.000205442                0.0252424              2.52886e-40              1.94794e-51              5.48434e-22              6.90204e-74              7.34597e-66              5.47748e-96               4.1075e-43              1.01661e-96               1.2453e-13                 0.332658                 0.298551                0.0698078                        1
       550              0       -6.65203              9.57677e-58              1.99067e-17              3.09195e-39              1.14054e-41              3.30511e-50                 0.126559               0.00172951                0.0401546              3.50419e-36              6.12653e-46              1.31311e-19              6.78882e-66              6.30395e-59              6.89699e-86              1.32029e-38              1.71003e-86               2.7133e-12                 0.549414                 0.221476                0.0606678                        1
       600              0       -5.80991              4.68549e-52              1.22138e-15              1.32107e-35              6.13618e-38              1.99632e-45                 0.044313                0.0102735                0.0599656              9.95066e-33              2.12251e-41               1.0368e-17              3.10323e-59              3.43691e-53              1.81163e-77              6.22049e-35              5.72386e-78              3.22079e-11                 0.688605                 0.142361                0.0544817                        1
       650              0       -4.61469              3.06419e-47              3.78708e-14              1.39855e-32              8.92625e-35              2.09775e-41                0.0144429                0.0413603                0.0670797              8.38429e-30              1.39398e-37              3.73887e-16              1.33616e-53              2.32489e-48              2.41848e-70              7.16422e-32              9.38566e-71              2.49368e-10                 0.748444                0.0779988                0.0506744                        1
       700              0       -3.12499              4.11928e-43              7.00543e-13              4.38473e-30              4.59845e-32              5.68935e-38               0.00483389                 0.108732                0.0470198              2.69144e-27              2.52715e-34              7.58233e-15              8.98055e-49              3.11018e-44              3.10165e-64              2.83677e-29               1.4359e-64              1.39409e-09                 0.757105                0.0348188                0.0474907                        1
       750              0       -1.84166              1.56109e-39              8.70001e-12              4.56012e-28              1.03548e-29              5.29966e-35               0.00175872                 0.178516                0.0174985              4.00424e-25              1.66019e-31              9.99974e-14              1.36507e-44              1.15433e-40              6.09807e-59              4.92432e-27              3.28915e-59               6.1174e-09                 0.745209                 0.011951                0.0450668                        1
