   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -7.36251             3.04415e-116              2.14583e-37              4.86594e-76              7.58805e-80              3.5313e-100                 0.484958              8.48975e-12               0.00246689              1.19446e-71              1.80427e-93              2.80303e-41             3.76024e-134             2.11961e-118             1.29353e-171              6.42217e-78             3.04379e-173              1.70432e-24              0.000128874                 0.401629                 0.110817                        1
       350              0       -7.23403              2.07452e-98              1.68733e-31              9.22279e-65              4.37474e-68                7.572e-85                 0.487444              1.81299e-09                0.0056866              9.81639e-61              6.52964e-79              1.15087e-34             2.99811e-113             4.28585e-100             3.06255e-145              8.82632e-66             1.48899e-146              1.02295e-20               0.00111883                 0.394988                 0.110762                        1
       400              0       -7.09068              5.03434e-85              4.58848e-27              2.62732e-56               2.9305e-59              2.44761e-73                 0.488403              9.98636e-08                0.0101467              1.51976e-52              5.60177e-68              1.07884e-29              1.46015e-97              2.39672e-86             1.93734e-125              1.18083e-56             1.63705e-126              7.05487e-18               0.00584175                 0.385108                   0.1105                        1
       450              0       -6.93679              1.31549e-74              1.31519e-23              9.83177e-50              2.16156e-52              2.22053e-64                 0.482021              2.22816e-06                0.0153692              3.56871e-46               1.8201e-59              8.04919e-26              2.35322e-85              1.20899e-75             5.02151e-110              1.52705e-49             6.55738e-111              1.14146e-15                0.0214971                 0.371478                 0.109633                        1
       500              0       -6.77252              2.86549e-66              7.73083e-21               1.7791e-44              6.75415e-47              3.26025e-57                 0.458414              2.64792e-05                0.0209669              4.43698e-41              1.17871e-52              1.00406e-22              1.38041e-75              4.44511e-67               1.0955e-97              7.51994e-44              2.03322e-98              6.61059e-14                0.0609025                 0.352242                 0.107448                        1
       550              0       -6.58741              1.91535e-59              1.41711e-18              3.57449e-40              2.10269e-42              2.35283e-51                 0.406274              0.000199942                0.0268329              6.46025e-37              4.36133e-47              3.32721e-20              1.35776e-67              4.48763e-60               1.3794e-87               3.3454e-39              3.42006e-88              1.78047e-12                 0.139213                 0.324382                 0.103099                        1
       600              0       -6.35026              9.37099e-54              1.06616e-16              1.39073e-36              1.15328e-38              1.74262e-46                 0.321614               0.00108153                0.0332286               1.8702e-33              1.85278e-42              3.95013e-18              6.20645e-61              3.00014e-54              3.62326e-79              2.36996e-35              1.14477e-79              2.64206e-11                 0.262354                 0.285495                0.0962264                        1
       650              0       -5.99194              6.12837e-49              3.97393e-15              1.53839e-33              1.66106e-35              2.20124e-42                  0.21889               0.00454958                0.0405822              1.56021e-30              1.46275e-38              2.05845e-16              2.67233e-55              2.43959e-49              4.83695e-72              3.94429e-32              1.87713e-72              2.43468e-10                 0.412059                 0.236181                0.0877388                        1
       700              0       -5.39815              8.23856e-45              8.43942e-14              6.26035e-31              8.41516e-33              6.85395e-39                 0.127268                0.0155244                 0.047925              4.92533e-28              3.04445e-35               5.5021e-15              1.79611e-50              3.74683e-45              6.20331e-66              2.05849e-29              2.87181e-66               1.5367e-09                 0.549392                  0.18037                0.0795208                        1
       750              0       -4.46551              3.12218e-41              1.14445e-12              1.09176e-28              1.86029e-30              6.97151e-36                0.0658298                0.0427396                0.0501507              7.19377e-26              2.18392e-32              8.65199e-14              2.73013e-46              1.51848e-41              1.21961e-60              4.26063e-27              6.57831e-61              7.22857e-09                 0.644771                 0.123781                0.0727276                        1
