         Th[K]      mu[Pa-s]
           300   1.36103e-05
           400    1.7579e-05
           500   2.08271e-05
           600    2.2259e-05
           700   2.44643e-05
           800   2.87496e-05
           900   3.12172e-05
          1000   3.35315e-05
          1100   3.56764e-05
          1200   3.77155e-05
          1300   3.97518e-05
          1400   4.17675e-05
          1500   4.37489e-05
          1600   4.56974e-05
          1700   4.76166e-05
          1800   4.95107e-05
          1900    5.1384e-05
          2000   5.32412e-05
          2100   5.50252e-05
          2200   5.67955e-05
          2300   5.85469e-05
          2400   6.02552e-05
          2500   6.18617e-05
          2600   6.32619e-05
          2700    6.4319e-05
          2800   6.49225e-05
          2900   6.50717e-05
          3000    6.4933e-05
          3100    6.4787e-05
          3200   6.48664e-05
          3300   6.52576e-05
          3400   6.59334e-05
          3500   6.68271e-05
          3600   6.78796e-05
          3700   6.90487e-05
          3800   7.02977e-05
          3900   7.15944e-05
          4000   7.29182e-05
