         Th[K]      mu[Pa-s]
           300   1.36105e-05
           400   1.76019e-05
           500   2.12056e-05
           600   2.42478e-05
           700   2.64298e-05
           800   2.79229e-05
           900   3.02571e-05
          1000   3.33429e-05
          1100   3.56829e-05
          1200   3.77944e-05
          1300   3.98388e-05
          1400   4.18248e-05
          1500   4.37668e-05
          1600   4.56971e-05
          1700   4.76122e-05
          1800   4.95052e-05
          1900    5.1376e-05
          2000   5.32268e-05
          2100   5.49982e-05
          2200   5.67503e-05
          2300    5.8486e-05
          2400   6.02084e-05
          2500   6.19205e-05
          2600   6.36248e-05
          2700   6.53224e-05
          2800   6.70119e-05
          2900   6.86877e-05
          3000   7.03374e-05
          3100   7.19412e-05
          3200   7.34702e-05
          3300   7.48893e-05
          3400   7.61606e-05
          3500   7.72503e-05
          3600    7.8135e-05
          3700   7.88092e-05
          3800   7.92928e-05
          3900   7.96333e-05
          4000   7.98994e-05
