   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -5.67846             1.52208e-117              1.83483e-38              1.77008e-76              3.05299e-80              3.0195e-101                 0.207395              3.08831e-12               0.00652876              4.80582e-72              1.54277e-94              4.09883e-42             1.88012e-135             1.81241e-119             6.46765e-173              9.39104e-79              1.5219e-174              1.17267e-24               1.8845e-05                 0.427279                 0.358778                        1
       350              0       -5.54921              1.03726e-99              1.45369e-32              3.24181e-65              1.76051e-68              6.52349e-86                 0.214829              6.37265e-10                0.0140518              3.95038e-61              5.62547e-80              1.70843e-35             1.49905e-114             3.69238e-101             1.53128e-146              1.31024e-66             7.44496e-148               7.0932e-21              0.000166086                 0.412201                 0.358752                        1
       400              0       -5.40908              2.51717e-86              3.99057e-28              8.87973e-57              1.18049e-59              2.12867e-74                 0.223527              3.37515e-08                0.0231806              6.12207e-53              4.87181e-69              1.63199e-30              7.30075e-99              2.08441e-87             9.68671e-127              1.78628e-57             8.18523e-128              4.94319e-18              0.000883699                 0.393785                 0.358623                        1
       450              0       -5.26681              6.57743e-76              1.15757e-24               3.1989e-50              8.73648e-53              1.95441e-65                 0.231418              7.24963e-07                0.0325402              1.44238e-46              1.60197e-60               1.2471e-26              1.17661e-86               1.0641e-76             2.51076e-111              2.36593e-50             3.27869e-112              8.12118e-16               0.00333067                 0.374526                 0.358184                        1
       500              0       -5.12522              1.43274e-67              6.92708e-22              5.58941e-45                2.753e-47              2.92129e-58                 0.236399              8.31898e-06                0.0413898              1.80852e-41              1.05617e-53              1.61228e-23              6.90204e-77              3.98297e-68              5.47748e-99              1.20752e-44              1.01661e-99              4.82871e-14               0.00977942                 0.355398                 0.357026                        1
       550              0       -4.98183              9.57677e-61              1.30838e-19              1.08585e-40              8.71864e-43              2.17231e-52                 0.236174              6.07378e-05                0.0495232               2.6787e-37               4.0267e-48              5.67246e-21              6.78882e-69              4.14332e-61              6.89699e-89              5.70346e-40              1.71003e-89              1.36323e-12                0.0237339                 0.335995                 0.354513                        1
       600              0       -4.82991              4.68549e-55               1.0348e-17              4.07306e-37              4.91721e-39              1.69136e-47                 0.228327              0.000316748                0.0570026              7.97392e-34              1.79828e-43              7.44231e-19              3.10323e-62              2.91189e-55              1.81163e-80              4.46517e-36              5.72386e-81               2.1867e-11                0.0494292                 0.315066                 0.349858                        1
       650              0       -4.65833              3.06419e-50              4.16349e-16              4.31727e-34              7.33658e-36              2.30625e-43                 0.210993               0.00127678                0.0639223              6.89114e-31              1.53253e-39              4.51905e-17              1.33616e-56              2.55597e-50              2.41848e-73              8.65915e-33              9.38566e-74               2.2533e-10                0.0904619                 0.291021                 0.342325                        1
       700              0        -4.4499              4.11928e-46              9.78523e-15              1.69361e-31              3.84209e-33              7.94692e-40                  0.18401                0.0041998                0.0701492              2.24875e-28              3.52994e-36              1.47936e-15              8.98055e-52              4.34432e-46              3.10165e-67              5.53472e-30               1.4359e-67              1.62698e-09                 0.147716                 0.262395                 0.331529                        1
       750              0       -4.17885              1.56109e-42              1.48644e-13              2.98426e-29              8.69356e-31              9.05474e-37                 0.149869                0.0116826                0.0749415              3.36182e-26              2.83652e-33              2.91908e-14              1.36507e-47              1.97224e-42              6.09807e-62              1.43749e-27              3.28915e-62              8.77505e-09                 0.217538                 0.228308                 0.317662                        1
       800              0        -3.8101              2.11375e-39               1.5758e-12              2.71125e-27              9.93954e-29              4.17716e-34                 0.113414                0.0280208                0.0764943              2.66355e-24              9.63844e-31              3.78082e-13               6.1982e-44              3.04687e-39              2.61035e-57              1.77798e-25                1.609e-57              3.71415e-08                 0.291709                 0.188936                 0.301425                        1
