   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -5.67846              6.0883e-117              5.18961e-38              3.54021e-76              6.10596e-80             8.54033e-101                 0.207384              6.17671e-12               0.00652897              9.61159e-72              4.36356e-94              8.19744e-42             7.52049e-135             5.12619e-119             2.58706e-172              1.87816e-78             6.08759e-174              1.65838e-24              3.76889e-05                 0.427275                 0.358775                        1
       350              0       -5.54915              4.14904e-99              4.11118e-32              6.48439e-65              3.52088e-68              1.84492e-85                 0.214733              1.27468e-09                0.0140552              7.90043e-61              1.59094e-79              3.41609e-35             5.99622e-114             1.04425e-100              6.1251e-146              2.61988e-66             2.97799e-147              1.00298e-20              0.000332098                 0.412157                 0.358722                        1
       400              0       -5.40862              1.00687e-85              1.12806e-27              1.77686e-56              2.36047e-59              6.01737e-74                 0.223022              6.75379e-08                0.0232046              1.22414e-52              1.37718e-68              3.26028e-30               2.9203e-98              5.89227e-87             3.87468e-126              3.56851e-57             3.27409e-127              6.98523e-18                0.0017654                 0.393543                 0.358465                        1
       450              0        -5.2647              2.63097e-75              3.26744e-24              6.40793e-50              1.74585e-52              5.51665e-65                 0.229538              1.45222e-06                0.0326433              2.88237e-46              4.52183e-60              2.48405e-26              4.70643e-86               3.0036e-76              1.0043e-110              4.71261e-50             1.31148e-111              1.14522e-15               0.00663422                 0.373592                 0.357591                        1
       500              0       -5.11818              5.73097e-67              1.94796e-21              1.12216e-44              5.49277e-47              8.21492e-58                 0.230983              1.67017e-05                0.0417075              3.60834e-41              2.97003e-53               3.1874e-23              2.76082e-76              1.12005e-67              2.19099e-98              2.38721e-44              4.06643e-99              6.77304e-14                0.0193335                 0.352649                 0.355311                        1
       550              0       -4.96279              3.83071e-60                 3.65e-19              2.18872e-40              1.73377e-42              6.06009e-52                 0.223502              0.000122428                0.0503027              5.32681e-37              1.12333e-47              1.10364e-20              2.71553e-68              1.15586e-60               2.7588e-88              1.10967e-39              6.84011e-89              1.89065e-12                0.0461769                 0.329419                 0.350476                        1
       600              0       -4.78562               1.8742e-54              2.84449e-17              8.26067e-37              9.72216e-39              4.64925e-47                 0.203687              0.000642405                0.0586171              1.57658e-33              4.94314e-43              1.40585e-18              1.24129e-61              8.00426e-55              7.24651e-80              8.43472e-36              2.28954e-80              2.97112e-11                0.0933719                 0.301765                 0.341916                        1
       650              0       -4.56627              1.22567e-49              1.11722e-15               8.8257e-34               1.4387e-35              6.18852e-43                 0.170927               0.00261008                0.0667838              1.35135e-30              4.11234e-39              8.13483e-17              5.34466e-56              6.85862e-50              9.67391e-73              1.55875e-32              3.75426e-73              2.96425e-10                 0.162842                 0.267735                 0.329101                        1
       700              0       -4.27495              1.64771e-45              2.53586e-14              3.48525e-31              7.46326e-33              2.05946e-39                 0.129681               0.00864268                0.0742679              4.36819e-28              9.14789e-36              2.48384e-15              3.59222e-51              1.12584e-45              1.24066e-66              9.29274e-30              5.74362e-67              2.04756e-09                 0.248014                 0.226654                  0.31274                        1
       750              0       -3.87223              6.24435e-42              3.68554e-13              6.12016e-29              1.67415e-30              2.24507e-36                0.0885003                0.0239587                0.0787977              6.47395e-26              7.03299e-33              4.48634e-14              5.46026e-47              4.89004e-42              2.43923e-61              2.20928e-27              1.31566e-61              1.04746e-08                 0.334335                 0.179901                 0.294507                        1
       800              0       -3.31797              8.45499e-39              3.71982e-12              5.39992e-27              1.90177e-28              9.86061e-34                0.0550269                0.0558081                0.0758582              5.09628e-24              2.27525e-30              5.26708e-13              2.47928e-43              7.19245e-39              1.04414e-56              2.47691e-25              6.43599e-57              4.19386e-08                 0.406382                 0.131056                 0.275869                        1
       850              0       -2.61074              4.90343e-36               2.7859e-11              2.58358e-25              1.23442e-26              2.05279e-31                0.0320009                 0.107677                0.0616108              2.38449e-22              3.61584e-28              4.35585e-12              4.16082e-40              4.34467e-36              1.27284e-52              1.50134e-23              8.82337e-53              1.37655e-07                 0.455518                0.0854433                  0.25775                        1
       900              0       -1.85679              1.40255e-33              1.63608e-10              7.06815e-24              5.04117e-25              2.30696e-29                0.0180228                 0.169115                0.0393939              7.25482e-21              3.19576e-26                2.721e-11              3.04612e-37              1.25703e-33              5.44569e-49              5.51224e-22              4.18872e-49              3.86315e-07                 0.482681                0.0489316                 0.241855                        1
       950              0       -1.24182               2.2119e-31              7.89218e-10              1.18182e-22              1.40208e-23              1.55532e-27                0.0102171                 0.218591                0.0197255              1.54578e-19              1.73746e-24              1.36437e-10              1.10887e-34              1.97256e-31              9.64477e-46              1.34867e-20              8.13849e-46              9.64028e-07                 0.495847                0.0250003                 0.230617                        1
      1000      0.0166072      -0.843575              2.10264e-29              3.24154e-09              1.33772e-21              2.82227e-22              6.83644e-26               0.00598344                 0.246351               0.00849489              2.44123e-18              6.29142e-23              5.75116e-10              2.22881e-32              1.85219e-29              8.07006e-43              2.36778e-19              7.39822e-43              2.19891e-06                 0.502667                 0.012088                 0.224413                        1
      1050        0.02944      -0.597711              1.29504e-27              1.16304e-08              1.13633e-20              4.29816e-21              2.08847e-24               0.00364531                 0.258856               0.00353489               2.9775e-17              1.61257e-21              2.10097e-09              2.69262e-30              1.12297e-27              3.55048e-40              3.14509e-18              3.50667e-40              4.64905e-06                  0.50662               0.00587921                  0.22146                        1
      1100      0.0347525      -0.426719              5.48262e-26              3.71621e-08               7.7701e-20                5.131e-20              4.66426e-23               0.00230764                 0.264115               0.00151952              2.89791e-16              3.06987e-20              6.79607e-09              2.09573e-28              4.67081e-26              8.96527e-38              3.28942e-17              9.47043e-38              9.19143e-06                 0.508989               0.00297075                 0.220088                        1
      1150      0.0368985      -0.288277               1.6753e-24              1.07396e-07              4.46084e-19               4.9486e-19               7.9369e-22               0.00151368                 0.266359              0.000690829              2.31454e-15              4.51461e-19              1.97968e-08              1.11295e-26              1.40056e-24              1.39684e-35              2.79734e-16              1.56816e-35              1.71256e-05                  0.51042               0.00157512                 0.219425                        1
      1200      0.0377694      -0.163761              3.84836e-23               2.8431e-07              2.20958e-18              3.95714e-18              1.06495e-20               0.00102568                 0.267358              0.000333486              1.55395e-14              5.29878e-18              5.26487e-08              4.23019e-25              3.15491e-23              1.42642e-33              1.98605e-15              1.69236e-33              3.02842e-05                 0.511296              0.000876403                 0.219081                        1
      1250      0.0381306     -0.0452299              6.87691e-22              6.96824e-07              9.63162e-18              2.68232e-17              1.15954e-19              0.000715799                 0.267825              0.000170432               8.9521e-14              5.10073e-17              1.29286e-07              1.19796e-23              5.52628e-22              1.00435e-31              1.20339e-14              1.25309e-31              5.11413e-05                  0.51184               0.00051007                 0.218887                        1
      1300      0.0382942      0.0708182              9.84054e-21              1.59534e-06              3.75264e-17              1.57062e-16              1.04966e-18              0.000513042                 0.268054              9.17642e-05              4.50348e-13              4.12082e-16              2.95927e-07               2.6151e-22               7.7499e-21               5.0899e-30              6.33913e-14              6.64851e-30              8.29117e-05                 0.512182              0.000309259                 0.218765                        1
      1350      0.0383931       0.186022              1.15575e-19              3.43772e-06              1.32366e-16              8.07376e-16               8.0643e-18              0.000376683                  0.26817              5.17888e-05              2.00828e-12              2.84924e-15              6.36433e-07              4.52981e-21              8.91951e-20              1.92573e-28              2.94896e-13              2.62304e-28              0.000129635                 0.512395              0.000194553                 0.218678                        1
      1400      0.0384883       0.301207              1.13792e-18              7.01754e-06               4.2726e-16              3.69447e-15              5.35178e-17              0.000282654                 0.268231              3.04914e-05              8.04176e-12              1.71451e-14              1.29479e-06              6.38265e-20              8.60569e-19              5.61254e-27              1.22784e-12              7.94342e-27              0.000196237                 0.512521              0.000126525                 0.218604                        1
