   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0        -6.2548              6.0883e-116              3.14324e-37              9.80072e-76              1.71136e-79              5.1727e-100                  0.27909              1.70996e-11               0.00500384              2.69391e-71              2.64292e-93               3.0072e-41             7.52049e-134             3.10483e-118             2.58706e-171              6.88996e-78             6.08759e-173              2.81523e-24              0.000138261                 0.433931                 0.281837                        1
       350              0       -6.12441              4.14904e-98              2.48035e-31              1.82189e-64              9.86631e-68              1.11307e-84                 0.284499              3.58143e-09                0.0110954              2.21388e-60              9.59844e-79              1.24343e-34             5.99622e-113             6.30011e-100              6.1251e-145              9.53615e-66             2.97799e-146              1.69566e-20               0.00120881                  0.42151                 0.281686                        1
       400              0       -5.97897              1.00687e-84              6.76851e-27               5.0754e-56              6.60842e-59              3.61049e-73                 0.289057              1.92914e-07                0.0189324              3.42714e-52              8.26321e-68              1.17374e-29               2.9203e-97              3.53542e-86             3.87468e-125              1.28471e-56             3.27409e-126              1.17338e-17               0.00635566                 0.404694                 0.280961                        1
       450              0       -5.82276              2.63097e-74              1.94261e-23              1.86168e-49              4.87266e-52              3.27984e-64                 0.286789               4.2191e-06                0.0275529              8.04468e-46              2.68838e-59              8.78041e-26              4.70643e-85              1.78574e-75              1.0043e-109              1.66577e-49             1.31148e-110              1.90031e-15                  0.02345                 0.383653                 0.278551                        1
       500              0       -5.64935              5.73097e-66              1.13767e-20               3.3225e-44               1.5213e-46               4.7978e-57                 0.268741              4.94503e-05                0.0365621              9.99382e-41               1.7346e-52              1.08721e-22              2.76082e-75              6.54145e-67              2.19099e-97              8.14268e-44              4.06643e-98              1.09558e-13                0.0659458                 0.356146                 0.272556                        1
       550              0       -5.43668              3.83071e-59               2.0602e-18              6.63834e-40              4.73197e-42              3.42055e-51                 0.226856              0.000371321                0.0462732              1.45384e-36              6.34051e-47               3.5161e-20              2.71553e-67              6.52413e-60               2.7588e-87              3.53532e-39              6.84011e-88              2.91258e-12                 0.147116                 0.318312                 0.261072                        1
       600              0       -5.14434               1.8742e-53              1.51455e-16              2.58621e-36              2.59858e-38               2.4755e-46                 0.163713               0.00201121                0.0574542              4.21395e-33              2.63198e-42              3.98565e-18              1.24129e-60              4.26188e-54              7.24651e-79              2.39128e-35              2.28954e-79              4.22836e-11                 0.264713                 0.267841                 0.244268                        1
       650              0       -4.72054              1.22567e-48               5.4705e-15              2.85246e-33              3.76719e-35              3.03023e-42                0.0982576               0.00843577                 0.069761              3.53847e-30              2.01362e-38              1.95041e-16              5.34466e-55              3.35834e-49              9.67391e-72              3.73727e-32              3.75426e-72               3.8006e-10                 0.390431                 0.207469                 0.225645                        1
       700              0       -4.12023              1.64771e-44              1.12659e-13              1.12973e-30              1.92899e-32              9.14942e-39                0.0505172                0.0280149                0.0780337              1.12903e-27              4.06407e-35              4.90234e-15              3.59222e-50              5.00168e-45              1.24066e-65              1.83411e-29              5.74362e-66              2.35115e-09                 0.489505                 0.145006                 0.208923                        1
       750              0       -3.31125              6.24435e-41              1.49181e-12              1.85308e-28              4.30163e-30              9.08744e-36                 0.023757                0.0725428                0.0722395              1.66345e-25              2.84676e-32              7.35049e-14              5.46026e-46              1.97936e-41              2.43923e-60              3.61971e-27              1.31566e-60              1.08941e-08                 0.547779                0.0892457                 0.194436                        1
