   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300       0.071565       -2.77433             2.02943e-116              1.79015e-38              3.46949e-75              1.62992e-79             2.94597e-101              7.92784e-05              6.05332e-11                 0.188122              2.56572e-71               1.5052e-94              2.92623e-43             2.50683e-134             1.76827e-119             8.62353e-172              6.70443e-80              2.0292e-173              4.58113e-25              1.34538e-06                 0.044843                 0.766954                        1
       350      0.0716616       -2.72319              1.38301e-98              1.74417e-32              4.33254e-64              9.39928e-68              7.82704e-86              0.000187822              8.51679e-09                 0.188237              2.10908e-60              6.74957e-80              1.84456e-36             1.99874e-113             4.43021e-101              2.0417e-145              1.41464e-67             9.92662e-147              3.40782e-21              1.79321e-05                 0.044609                 0.766948                        1
       400      0.0718209       -2.67099              3.35623e-85               5.5235e-28               9.2447e-56              6.30355e-59              2.94637e-74              0.000346124              3.51387e-07                  0.18844              3.26904e-52              6.74326e-69              2.34497e-31              9.73433e-98              2.88511e-87             1.29156e-125              2.56666e-58             1.09136e-126              2.74012e-18              0.000126977                0.0441808                 0.766906                        1
       450      0.0720815       -2.61725              8.76991e-75              1.77028e-24              2.81366e-49              4.66738e-52              2.98889e-65              0.000534016              6.37657e-06                 0.188809              7.70578e-46               2.4499e-60              2.18751e-27              1.56881e-85              1.62733e-76             3.34768e-110              4.15003e-51             4.37159e-111              4.97635e-16              0.000584224                0.0433374                 0.766729                        1
       500      0.0725369       -2.56071              1.91032e-66              1.13035e-21              4.36714e-44              1.47263e-46              4.76691e-58              0.000707094              6.49982e-05                 0.189503              9.67406e-41              1.72343e-53              3.21977e-24              9.20273e-76              6.49933e-68               7.3033e-98              2.41145e-45              1.35548e-98              3.16111e-14               0.00195298                0.0415904                 0.766181                        1
       550      0.0733559       -2.49892               1.2769e-59              2.19937e-19              7.77892e-40               4.6762e-42              3.65161e-52              0.000795555               0.00043512                 0.190621              1.43671e-36              6.76882e-48              1.20215e-21              9.05176e-68              6.96485e-61              9.19599e-88              1.20872e-40              2.28004e-88              9.21805e-13               0.00502989                 0.038259                 0.764859                        1
       600      0.0748156       -2.42747              6.24733e-54              1.72419e-17              2.72745e-36              2.65018e-38              2.81814e-47              0.000742417               0.00212105                 0.191703              4.29763e-33              2.99628e-43              1.54961e-19              4.13764e-61              4.85178e-55               2.4155e-79               9.2972e-37              7.63182e-80              1.47277e-11                 0.010292                0.0329468                 0.762195                        1
       650      0.0774685       -2.33726              4.08558e-49              6.62269e-16              2.72357e-33               3.9845e-35              3.66845e-43              0.000569845               0.00805458                 0.190797              3.74258e-30              2.43773e-39              8.57552e-18              1.78155e-55              4.06567e-50              3.22464e-72              1.64319e-33              1.25142e-72              1.45994e-10                0.0171664                0.0261293                 0.757283                        1
       700      0.0825822       -2.20809              5.49238e-45              1.44493e-14              1.00017e-30              2.10756e-32              1.17348e-39              0.000369091                0.0248021                 0.183485              1.23354e-27              5.21247e-36               2.4193e-16              1.19741e-50              6.41503e-46              4.13554e-66              9.05131e-31              1.91454e-66              9.88399e-10                 0.024157                0.0190061                  0.74818                        1
       750      0.0925423       -2.00396              2.08145e-41              2.01034e-13              1.60707e-28              4.81679e-30              1.22461e-36              0.000211535                0.0629125                 0.162998              1.86266e-25              3.83626e-33              4.00452e-15              1.82009e-46              2.66736e-42              8.13075e-61              1.97201e-28              4.38554e-61              4.93166e-09                0.0298428                0.0126499                 0.731385                        1
       800        0.10989       -1.69089              2.81833e-38              1.95029e-12              1.26194e-26              5.54703e-28              5.16987e-34              0.000112265                 0.130421                 0.124287              1.48647e-23               1.1929e-30              4.34354e-14              8.26426e-43              3.77097e-39              3.48046e-56               2.0426e-26              2.14533e-56              1.92403e-08                0.0335126               0.00757708                  0.70409                        1
