   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -7.71373             1.52208e-117              2.21275e-38              1.26823e-76              1.71112e-80             3.64144e-101                 0.438679              2.21273e-12               0.00335155              2.69353e-72              1.86054e-94              5.96121e-42             1.88012e-135             2.18571e-119             6.46765e-173               1.3658e-78              1.5219e-174              7.92627e-25              2.74075e-05                 0.445239                 0.112703                        1
       350              0       -7.57337              1.03726e-99              1.74183e-32              2.39162e-65              9.86704e-69              7.81654e-86                 0.442824              4.70138e-10               0.00764792              2.21404e-61              6.74051e-80              2.45282e-35             1.49905e-114             4.42426e-101             1.53128e-146              1.88113e-66             7.44496e-148              4.76348e-21              0.000238453                 0.436599                 0.112691                        1
       400              0       -7.41526              2.51717e-86              4.74787e-28              6.76616e-57              6.61576e-60              2.53263e-74                 0.447908              2.57179e-08                0.0134589              3.43095e-53              5.79636e-69              2.31018e-30              7.30075e-99              2.47998e-87             9.68671e-127              2.52859e-57             8.18523e-128                3.296e-18               0.00125093                 0.424748                 0.112634                        1
       450              0        -7.2474              6.57743e-76               1.3685e-24              2.51054e-50              4.89495e-53              2.31054e-65                 0.452049               5.6896e-07                0.0200425              8.08148e-47              1.89388e-60                1.743e-26              1.17661e-86                1.258e-76             2.51076e-111              3.30672e-50             3.27869e-112              5.37933e-16               0.00465506                 0.410811                 0.112442                        1
       500              0       -7.07561              1.43274e-67              8.14743e-22              4.49466e-45              1.54153e-47              3.43594e-58                 0.452404              6.68962e-06                0.0267643              1.01267e-41              1.24223e-53              2.23039e-23              6.90204e-77              4.68465e-68              5.47748e-99              1.67045e-44              1.01661e-99              3.18015e-14                0.0135286                 0.395355                 0.111942                        1
       550              0       -6.90114              9.57677e-61              1.53311e-19              8.89765e-41              4.87563e-43              2.54541e-52                 0.445226              4.97697e-05                0.0332523              1.49798e-37              4.71831e-48              7.78836e-21              6.78882e-69              4.85496e-61              6.89699e-89              7.83093e-40              1.71003e-89              8.93283e-13                 0.032587                 0.378019                 0.110865                        1
       600              0       -6.71988              4.68549e-55              1.20961e-17              3.38396e-37              2.74318e-39              1.97708e-47                 0.426296               0.00026316                0.0393464              4.44844e-34              2.10206e-43              1.01691e-18              3.10323e-62              3.40379e-55              1.81163e-80              6.10119e-36              5.72386e-81              1.42598e-11                0.0675399                 0.357671                 0.108884                        1
       650              0        -6.5206              3.06419e-50              4.86124e-16              3.62158e-34              4.07663e-36              2.69275e-43                 0.392125               0.00107103                0.0449809              3.82912e-31              1.78936e-39              6.16063e-17              1.33616e-56              2.98432e-50              2.41848e-73              1.18046e-32              9.38566e-74              1.46189e-10                 0.123323                 0.332806                 0.105695                        1
       700              0       -6.28062              4.11928e-46              1.14243e-14              1.43025e-31              2.12231e-33              9.27803e-40                 0.341877               0.00354673                0.0500289              1.24217e-28               4.1212e-36              2.01646e-15              8.98055e-52              5.07199e-46              3.10165e-67              7.54415e-30               1.4359e-67              1.04925e-09                 0.201346                 0.302044                 0.101158                        1
       750              0       -5.95845              1.56109e-42              1.73649e-13              2.53433e-29              4.76458e-31              1.05779e-36                 0.279131               0.00992119                0.0540473              1.84247e-26              3.31368e-33              3.98377e-14              1.36507e-47              2.30401e-42              6.09807e-62              1.96179e-27              3.28915e-62              5.61825e-09                 0.296882                 0.264603                0.0954155                        1
