   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -6.25479             1.52208e-115              6.24903e-37               1.5497e-75              2.70585e-79              1.02838e-99                 0.279039              2.70381e-11               0.00500431              4.25936e-71              5.25435e-93              4.75437e-41             1.88012e-133             6.17266e-118             6.46765e-171               1.0893e-77              1.5219e-172              3.53974e-24              0.000218589                 0.433912                 0.281826                        1
       350              0       -6.12428              1.03726e-97              4.92946e-31              2.88171e-64              1.55973e-67              2.21212e-84                 0.284061              5.66479e-09                0.0111035              3.49984e-60               1.9076e-78              1.96451e-34             1.49905e-112              1.25209e-99             1.53128e-144              1.50663e-65             7.44496e-146              2.13099e-20               0.00190982                 0.421339                 0.281588                        1
       400              0       -5.97779              2.51717e-84              1.34305e-26              8.03795e-56              1.04393e-58              7.16418e-73                 0.286791              3.05519e-07                 0.018994              5.41382e-52              1.63964e-67              1.84856e-29              7.30075e-97              7.01523e-86             9.68671e-125              2.02333e-56             8.18523e-126               1.4712e-17                0.0100097                 0.403759                 0.280446                        1
       450              0       -5.81668              6.57743e-74              3.83481e-23              2.95875e-49              7.67877e-52              6.47458e-64                 0.278727              6.70537e-06                0.0278377              1.26775e-45              5.30702e-59              1.36865e-25              1.17661e-84              3.52515e-75             2.51076e-109              2.59653e-49             3.27869e-110              2.36466e-15                0.0365529                 0.380172                 0.276704                        1
       500              0       -5.62704              1.43274e-65              2.21677e-20              5.32246e-44                2.384e-46              9.34857e-57                 0.247929              7.92167e-05                0.0375308              1.56611e-40              3.37989e-52              1.65113e-22              6.90204e-75              1.27461e-66              5.47748e-97              1.23661e-43              1.01661e-97              1.33814e-13                 0.100151                 0.346579                 0.267731                        1
       550              0       -5.37239              9.57677e-59              3.90977e-18              1.07954e-39              7.34937e-42              6.49139e-51                 0.188321              0.000603847                0.0489491              2.25801e-36              1.20328e-46               5.0653e-20              6.78882e-67              1.23813e-59              6.89699e-87              5.09298e-39              1.71003e-87               3.4339e-12                 0.211935                 0.298287                 0.251904                        1
       600              0       -4.99703              4.68549e-53              2.75709e-16               4.2896e-36              4.00366e-38               4.5064e-46                 0.115062               0.00333588                0.0632248              6.49248e-33              4.79126e-42              5.28317e-18              3.10323e-60              7.75833e-54              1.81163e-78              3.16975e-35              5.72386e-79              4.74374e-11                  0.35089                 0.235551                 0.231936                        1
       650              0       -4.45811              3.06419e-48              9.49684e-15               4.7594e-33              5.79453e-35               5.2605e-42                0.0571153                0.0140753                 0.077685              5.44271e-30              3.49566e-38               2.3512e-16              1.33616e-54              5.83011e-49              2.41848e-71              4.50523e-32              9.38566e-72              4.05942e-10                  0.47066                  0.16692                 0.213544                        1
       700              0       -3.73144              4.11928e-44              1.87948e-13              1.82677e-30              2.97424e-32              1.52639e-38                0.0250441                0.0453002                0.0816138               1.7408e-27              6.78005e-35              5.45767e-15              8.98055e-50              8.34426e-45              3.10165e-65              2.04187e-29               1.4359e-65              2.41912e-09                 0.544955                 0.104414                 0.198673                        1
       750              0       -2.79949              1.56109e-40              2.41876e-12              2.75977e-28              6.64256e-30               1.4734e-35                0.0105073                 0.108037                0.0640904              2.56869e-25              4.61564e-32              7.72923e-14              1.36507e-45              3.20926e-41              6.09807e-60              3.80623e-27              3.28915e-60              1.09102e-08                 0.576005                0.0559046                 0.185456                        1
