   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -3.94175             2.02943e-116              6.67383e-38              1.81362e-75              1.45058e-79             1.09829e-100                0.0153144              3.16427e-11                0.0514043              2.28341e-71              5.61153e-94              4.06706e-42             2.50683e-134             6.59228e-119             8.62353e-172              9.31825e-79              2.0292e-173              1.51997e-24              1.86989e-05                 0.325797                 0.607465                        1
       350              0       -3.83323              1.38301e-98              5.99689e-32              2.49512e-64              8.36472e-68              2.69114e-85                0.0262483              4.90484e-09                0.0624314              1.87694e-60              2.32068e-79              2.18057e-35             1.99874e-113             1.52322e-100              2.0417e-145              1.67233e-66             9.92662e-147              1.04273e-20              0.000211986                 0.303702                 0.607406                        1
       400              0       -3.72664              3.35623e-85              1.76867e-27              5.75778e-56              5.60835e-59              9.43451e-74                0.0363883              2.18851e-07                0.0730966              2.90851e-52              2.15925e-68              2.40437e-30              9.73433e-98              9.23836e-87             1.29156e-125              2.63168e-57             1.09136e-126              7.80642e-18               0.00130193                 0.282138                 0.607075                        1
       450              0       -3.62153              8.76991e-75              5.34245e-24              1.86481e-49              4.14893e-52              9.02002e-65                0.0442941               4.2262e-06                0.0829372              6.84982e-46              7.39344e-60              1.99226e-26              1.56881e-85              4.91104e-76             3.34768e-110              3.77961e-50             4.37159e-111              1.33497e-15               0.00532078                  0.26159                 0.605853                        1
       500              0       -3.51178              1.91032e-66              3.25275e-21              3.04847e-44              1.30593e-46              1.37175e-57                0.0484874              4.53718e-05                0.0923393              8.57902e-41              4.95944e-53              2.66625e-23              9.20273e-76              1.87028e-67               7.3033e-98              1.99689e-44              1.35548e-98              8.06689e-14                0.0161724                 0.240411                 0.602545                        1
       550              0       -3.38737               1.2769e-59              6.10937e-19              5.68993e-40              4.12643e-42              1.01434e-51                0.0473657              0.000318271                 0.101987               1.2678e-36              1.88023e-47              9.27592e-21              9.05176e-68              1.93468e-60              9.19599e-88              9.32662e-40              2.28004e-88              2.25953e-12                 0.038811                 0.215932                 0.595586                        1
       600              0       -3.23642              6.24733e-54              4.68268e-17              2.08678e-36              2.31963e-38              7.65375e-47                0.0403917               0.00162282                 0.112219               3.7616e-33              8.13755e-43              1.14299e-18              4.13764e-61              1.31769e-54               2.4155e-79              6.85763e-36              7.63182e-80              3.50097e-11                0.0759136                 0.185932                  0.58392                        1
       650    3.67229e-05       -3.04682              4.08558e-49               1.7775e-15              2.17712e-33              3.45065e-35              9.84595e-43                0.0295704               0.00643853                 0.121915              3.24115e-30              6.54275e-39              6.17748e-17              1.78155e-55              1.09121e-49              3.22464e-72              1.18369e-32              1.25142e-72              3.39343e-10                  0.12366                  0.15046                 0.567955                        1
       700     0.00827281       -2.80206              5.49238e-45              3.85606e-14               8.3219e-31              1.80527e-32              3.13164e-39                0.0187205                0.0206366                 0.127028              1.05661e-27              1.39104e-35              1.72299e-15              1.19741e-50              1.71196e-45              4.13554e-66               6.4462e-30              1.91454e-66              2.25939e-09                 0.172042                 0.112625                 0.548947                        1
       750      0.0240931       -2.47107              2.08145e-41               5.3469e-13              1.38121e-28              4.08846e-30              3.25709e-36                0.0105855                0.0540706                 0.120401              1.58102e-25              1.02033e-32              2.83279e-14              1.82009e-46              7.09436e-42              8.13075e-61              1.39499e-27              4.38554e-61              1.11334e-08                 0.211108                0.0769085                 0.526927                        1
       800      0.0504998       -2.02268              2.81833e-38              5.17498e-12              1.10902e-26              4.67908e-28               1.3718e-33               0.00556521                 0.114617                0.0959901              1.25388e-23               3.1653e-30              3.05818e-13              8.26426e-43               1.0006e-38              3.48046e-56              1.43815e-25              2.14533e-56              4.30649e-08                 0.235954                0.0468837                  0.50099                        1
       850      0.0845836       -1.50192              1.63448e-35              3.74986e-11              4.60707e-25              3.05612e-26              2.76308e-31               0.00283611                 0.192011                0.0587737              5.90341e-22              4.86696e-28              2.36751e-12              1.38694e-39              5.84798e-36               4.2428e-52              8.16018e-24              2.94112e-52              1.37616e-07                 0.247585                 0.024844                  0.47395                        1
       900       0.113886       -1.06468              4.67518e-33                2.157e-10              1.06513e-23              1.26048e-24              3.04149e-29               0.00147018                 0.254846                0.0268374              1.81398e-20              4.21328e-26              1.41887e-11              1.01537e-36              1.65727e-33              1.81523e-48              2.87437e-22              1.39624e-48              3.82046e-07                 0.251695                0.0115351                 0.453616                        1
       950       0.129915      -0.798177              7.37299e-31              1.03015e-09              1.55307e-22              3.54884e-23              2.03013e-27              0.000800778                 0.287258                0.0102195              3.91257e-19              2.26787e-24              6.97373e-11              3.69622e-34              2.57475e-31              3.21492e-45              6.89347e-21              2.71283e-45              9.55496e-07                 0.253442               0.00503776                  0.44324                        1
      1000       0.136482      -0.645263               7.0088e-29              4.21086e-09              1.62899e-21              7.20733e-22              8.88075e-26              0.000460037                 0.299992               0.00377909              6.23426e-18              8.17275e-23               2.9115e-10              7.42936e-32              2.40605e-29              2.69002e-42              1.19868e-19              2.46607e-42              2.18839e-06                 0.254472               0.00223557                 0.439059                        1
      1050       0.138963      -0.539952               4.3168e-27              1.50673e-08              1.33744e-20              1.10291e-20              2.70563e-24              0.000277242                 0.304668               0.00146904              7.64026e-17               2.0891e-21              1.05784e-09              8.97539e-30              1.45482e-27              1.18349e-39              1.58356e-18              1.16889e-39              4.63642e-06                 0.255084               0.00104523                 0.437451                        1
