   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -3.64738              6.0883e-117              2.21549e-38              1.22721e-75              8.18511e-80             3.64594e-101               0.00688834              2.14115e-11                0.0784559              1.28845e-71              1.86284e-94              1.49399e-42             7.52049e-135             2.18842e-119             2.58706e-172              3.42296e-79             6.08759e-174              9.49051e-25              6.86885e-06                  0.26994                 0.644709                        1
       350              0       -3.56234              4.14904e-99              2.06549e-32               1.5973e-64              4.72004e-68              9.26899e-86                0.0136812              3.13992e-09                0.0852844              1.05912e-60              7.99302e-80              8.62266e-36             5.99622e-114             5.24637e-101              6.1251e-146              6.61293e-67             2.97799e-147              6.75524e-21              8.38261e-05                 0.256267                 0.644684                        1
       400              0       -3.47471              1.00687e-85              6.24548e-28               3.5528e-56              3.16518e-59              3.33149e-74                0.0209545              1.35041e-07                0.0927699              1.64147e-52              7.62469e-69              9.99355e-31               2.9203e-98              3.26223e-87             3.87468e-126              1.09383e-57             3.27409e-127              5.18577e-18              0.000541137                 0.241198                 0.644536                        1
       450              0       -3.38659              2.63097e-75              1.92144e-24              1.12199e-49              2.34286e-52               3.2441e-65                0.0274491              2.54275e-06                 0.100077              3.86802e-46              2.65909e-60               8.5901e-27              4.70643e-86              1.76628e-76              1.0043e-110              1.62967e-50             1.31148e-111              9.03747e-16               0.00229418                 0.226207                 0.643971                        1
       500     0.00278814       -3.29611              5.73097e-67               1.1904e-21              1.79835e-44              7.38552e-47              5.02015e-58                0.0322131              2.67657e-05                 0.107115              4.85174e-41              1.81499e-53              1.19032e-23              2.76082e-76              6.84461e-68              2.19099e-98               8.9149e-45              4.06643e-99              5.56528e-14                  0.00722                 0.211051                 0.642375                        1
       550     0.00797518       -3.19832              3.83071e-60              2.28461e-19              3.29737e-40              2.34073e-42              3.79313e-52                0.0343051              0.000184441                 0.114169              7.19162e-37              7.03114e-48              4.32379e-21              2.71553e-68              7.23477e-61               2.7588e-88              4.34742e-40              6.84011e-89              1.59768e-12                 0.018091                 0.194431                  0.63882                        1
       600      0.0122528       -3.08608               1.8742e-54              1.80419e-17              1.18917e-36               1.3221e-38              2.94892e-47                0.0329671               0.00092478                 0.121474              2.14397e-33              3.13532e-43              5.65586e-19              1.24129e-61              5.07692e-55              7.24651e-80              3.39335e-36              2.28954e-80              2.56272e-11                0.0375643                 0.174766                 0.632304                        1
       650      0.0162818       -2.95023              1.22567e-49              7.12412e-16              1.22482e-33               1.9782e-35               3.9462e-43                0.0282606               0.00362223                 0.128622              1.85809e-30               2.6223e-39              3.30776e-17              5.34466e-56               4.3735e-50              9.67391e-73              6.33814e-33              3.75426e-73                2.599e-10                0.0662144                 0.151082                 0.622199                        1
       700       0.021606       -2.77806              1.64771e-45              1.61798e-14              4.67648e-31              1.04098e-32              1.31402e-39                0.0214917                0.0115967                 0.133713              6.09276e-28              5.83673e-36              1.01116e-15              3.59222e-51               7.1833e-46              1.24066e-66              3.78304e-30              5.74362e-67              1.82221e-09                 0.100966                 0.123807                 0.608426                        1
       750      0.0307028       -2.54899              6.24435e-42              2.34982e-13              7.94001e-29              2.37135e-30              1.43141e-36                0.0146244                 0.031083                 0.132627              9.17004e-26              4.48408e-33              1.82373e-14              5.46026e-47              3.11779e-42              2.43923e-61              8.98086e-28              1.31566e-61              9.45963e-09                 0.135909                0.0948766                  0.59088                        1
