   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -7.71377             2.02943e-116              1.54392e-37              4.63103e-76              6.24801e-80             2.54076e-100                 0.438627              8.07991e-12               0.00335169              9.83521e-72              1.29817e-93               2.1766e-41             2.50683e-134             1.52505e-118             8.62353e-172              4.98691e-78              2.0292e-173              1.51455e-24              0.000100072                 0.445223                 0.112699                        1
       350              0       -7.57358              1.38301e-98              1.21506e-31              8.73446e-65              3.60236e-68              5.45265e-85                 0.442373              1.71699e-09               0.00765052              8.08327e-61              4.70204e-79              8.95186e-35             1.99874e-113             3.08627e-100              2.0417e-145               6.8654e-66             9.92662e-147              9.09871e-21              0.000870264                 0.436451                 0.112656                        1
       400              0       -7.41591              3.35623e-85              3.30851e-27              2.47256e-56              2.41374e-59              1.76484e-73                 0.445557              9.39812e-08                0.0134797              1.25177e-52              4.03913e-68              8.41342e-30              9.73433e-98              1.72815e-86             1.29156e-125              9.20883e-57             1.09136e-126               6.2848e-18               0.00455575                 0.423959                 0.112448                        1
       450              0       -7.24826              8.76991e-75              9.50286e-24              9.18961e-50              1.78192e-52              1.60443e-64                 0.443406              2.08263e-06                0.0201407              2.94192e-46               1.3151e-59              6.30339e-26              1.56881e-85               8.7355e-76             3.34768e-110              1.19584e-49             4.37159e-111              1.01985e-15                0.0168346                  0.40786                 0.111756                        1
       500              0       -7.07372              1.91032e-66              5.60654e-21              1.65124e-44              5.57974e-47              2.36439e-57                 0.427964              2.45762e-05                0.0270923              3.66548e-41              8.54825e-53              7.92119e-23              9.20273e-76              3.22368e-67               7.3033e-98              5.93258e-44              1.35548e-98              5.94079e-14                0.0480467                 0.386877                 0.109996                        1
       550              0       -6.88557               1.2769e-59              1.03466e-18              3.29179e-40              1.74428e-42              1.71785e-51                 0.389645              0.000184129                0.0341347              5.35909e-37              3.18429e-47              2.66048e-20              9.05176e-68              3.27651e-60              9.19599e-88              2.67502e-39              2.28004e-88              1.61757e-12                 0.111316                 0.358299                 0.106421                        1
       600              0       -6.66001              6.24733e-54              7.87437e-17               1.2677e-36              9.62582e-39              1.28705e-46                  0.32298              0.000985851                0.0414143              1.56096e-33              1.36841e-42              3.23211e-18              4.13764e-61              2.21581e-54               2.4155e-79              1.93917e-35              7.63182e-80              2.44303e-11                 0.214665                 0.319403                 0.100552                        1
       650              0        -6.3424              4.08558e-49              2.98553e-15              1.38319e-33              1.39493e-35              1.65375e-42                 0.235344               0.00409061                0.0492107              1.31024e-30              1.09893e-38              1.74275e-16              1.78155e-55              1.83281e-49              3.22464e-72              3.33935e-32              1.25142e-72               2.3041e-10                 0.348861                 0.269678                0.0928149                        1
       700              0        -5.8347              5.49238e-45              6.47025e-14              5.56397e-31              7.08828e-33              5.25471e-39                 0.148397                0.0137975                 0.056784              4.14872e-28              2.33409e-35              4.85105e-15              1.19741e-50              2.87258e-45              4.13554e-66              1.81492e-29              1.91454e-66              1.48856e-09                 0.484384                 0.212007                0.0846309                        1
       750              0       -5.02316              2.08145e-41              8.93902e-13              9.75205e-29              1.56597e-30              5.44525e-36                0.0826916                0.0381766                0.0600208              6.05564e-26               1.7058e-32              7.91754e-14              1.82009e-46              1.18604e-41              8.13075e-61              3.89896e-27              4.38554e-61              7.12916e-09                 0.590038                  0.15177                0.0773032                        1
