   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -4.75637             1.52208e-116              8.29495e-38              8.22508e-76              1.13223e-79             1.36507e-100                0.0866305              1.43506e-11                 0.014097              1.78228e-71              6.97461e-94              8.37715e-42             1.88012e-134             8.19359e-119             6.46765e-172              1.91933e-78              1.5219e-173              1.96609e-24              3.85152e-05                 0.405786                 0.493448                        1
       350              0         -4.621              1.03726e-98              6.72825e-32              1.40045e-64              6.52873e-68              3.01934e-85                0.0985871              2.75297e-09                0.0262237              1.46497e-60               2.6037e-79              3.65982e-35             1.49905e-113             1.70898e-100             1.53128e-145              2.80681e-66             7.44496e-147              1.21748e-20              0.000355793                 0.381463                  0.49337                        1
       400              0       -4.48557              2.51717e-85              1.87983e-27              3.62197e-56               4.3768e-59              1.00275e-73                 0.110069               1.3767e-07                0.0385669              2.26982e-52              2.29496e-68              3.62147e-30              7.30075e-98                9.819e-87             9.68671e-126              3.96385e-57             8.18523e-127              8.63344e-18               0.00196098                 0.356429                 0.492974                        1
       450              0       -4.35323              6.57743e-75               5.5069e-24              1.25415e-49              3.23659e-52              9.29768e-65                  0.11853              2.84228e-06                0.0500174              5.34356e-46              7.62102e-60               2.8224e-26              1.17661e-85              5.06221e-76             2.51076e-110               5.3545e-50             3.27869e-111              1.43129e-15               0.00753785                 0.332314                 0.491597                        1
       500              0       -4.21844              1.43274e-66              3.29672e-21              2.13846e-44              1.01779e-46              1.39029e-57                 0.121275              3.18277e-05                0.0605848              6.68616e-41              5.02649e-53              3.65177e-23              6.90204e-76              1.89556e-67              5.47748e-98              2.73499e-44              1.01661e-98              8.49602e-14                0.0221501                 0.307973                 0.487985                        1
       550              0       -4.06948              9.57677e-60              6.15054e-19              4.10556e-40              3.20968e-42              1.02117e-51                 0.115331              0.000229648                0.0707972              9.86136e-37               1.8929e-47              1.25351e-20              6.78882e-68              1.94772e-60              6.89699e-88              1.26036e-39              1.71003e-88              2.35918e-12                0.0524478                 0.280733                 0.480461                        1
       600              0       -3.89005              4.68549e-54              4.72319e-17              1.53741e-36              1.79797e-38              7.71995e-47                0.0990992                0.0011956                0.0812148              2.91565e-33              8.20794e-43              1.55047e-18              3.10323e-61              1.32909e-54              1.81163e-79              9.30238e-36              5.72386e-80              3.64948e-11                 0.102977                 0.247758                 0.467755                        1
       650              0       -3.66083              3.06419e-49               1.8078e-15              1.63486e-33              2.66054e-35              1.00138e-42                0.0749968               0.00483488                0.0916629              2.49901e-30               6.6543e-39              8.51989e-17              1.33616e-55              1.10981e-49              2.41848e-72              1.63253e-32              9.38566e-73              3.54804e-10                  0.17055                  0.20777                 0.450185                        1
       700              0       -3.35964              4.11928e-45              3.96514e-14              6.38766e-31              1.38322e-32              3.22023e-39                0.0496127                0.0158401                 0.099788               8.0959e-28              1.43039e-35              2.42913e-15              8.98055e-51              1.76039e-45              3.10165e-66              9.08807e-30               1.4359e-66              2.37353e-09                 0.242552                 0.162503                 0.429705                        1
       750              0       -2.95671              1.56109e-41              5.55547e-13               1.0894e-28              3.11549e-30              3.38414e-36                0.0292416                0.0426469                0.0998668              1.20476e-25              1.06013e-32              4.07747e-14              1.36507e-46              7.37109e-42              6.09807e-61              2.00793e-27              3.28915e-61               1.1753e-08                 0.303865                 0.116417                 0.407963                        1
       800              0       -2.42345              2.11375e-38               5.4229e-12              9.05084e-27              3.55293e-28              1.43752e-33                0.0159071                0.0935404                0.0852445              9.52098e-24              3.31694e-30              4.47763e-13               6.1982e-43              1.04854e-38              2.61035e-56              2.10566e-25                1.609e-56              4.56889e-08                 0.345471                0.0746958                 0.385141                        1
       850      0.0245187       -1.79871              1.22586e-35               3.9541e-11              3.92217e-25              2.31487e-26              2.91358e-31               0.00831134                 0.163466                0.0567969              4.47156e-22              5.13205e-28              3.50992e-12              1.04021e-39              6.16651e-36               3.1821e-52              1.20977e-23              2.20584e-52              1.46554e-07                 0.367054                0.0418086                 0.362563                        1
       900      0.0642033       -1.24364              3.50638e-33              2.28207e-10              9.46412e-24              9.51864e-25              3.21783e-29               0.00436616                 0.226442                0.0282513              1.36984e-20              4.45757e-26              2.11757e-11              7.61531e-37              1.75336e-33              1.36142e-48               4.2898e-22              1.04718e-48              4.06977e-07                 0.375637                0.0203954                 0.344907                        1
       950      0.0885666       -0.88327              5.52974e-31              1.09132e-09              1.42032e-22              2.67217e-23              2.15068e-27               0.00239076                 0.262704                0.0113961              2.94605e-19              2.40254e-24              1.04354e-10              2.77216e-34              2.72763e-31              2.41119e-45              1.03153e-20              2.03462e-45              1.01624e-06                 0.379246               0.00919206                 0.335069                        1
      1000      0.0993765      -0.675118               5.2566e-29              4.46377e-09              1.51014e-21              5.41758e-22              9.41414e-26                 0.001377                 0.278105               0.00433037              4.68614e-18              8.66362e-23              4.36231e-10              5.57202e-32              2.55056e-29              2.01751e-42              1.79598e-19              1.84956e-42              2.32501e-06                 0.381278               0.00414026                 0.330768                        1
      1050       0.103615      -0.538041               3.2376e-27              1.59786e-08              1.24674e-20               8.2834e-21              2.86927e-24              0.000831164                 0.284008               0.00170208              5.73822e-17              2.21545e-21              1.58623e-09              6.73154e-30              1.54281e-27              8.87619e-40              2.37454e-18              8.76666e-40              4.92372e-06                 0.382497               0.00194803                 0.329009                        1
      1100       0.105274      -0.428656              1.37065e-25              5.09844e-08              8.42295e-20              9.90794e-20              6.39911e-23              0.000523234                 0.286307              0.000714234              5.59586e-16              4.21169e-20              5.11672e-09              5.23934e-28               6.4081e-26              2.24132e-37              2.47659e-17              2.36761e-37              9.74006e-06                 0.383215              0.000969834                 0.328261                        1
      1150       0.105954      -0.329753              4.18825e-24              1.47215e-07              4.81078e-19              9.56517e-19              1.08797e-21              0.000342039                 0.287254              0.000321387              4.47379e-15              6.18851e-19              1.48794e-08              2.78237e-26              1.91985e-24               3.4921e-35               2.1025e-16              3.92039e-35              1.81502e-05                 0.383635              0.000510696                 0.327919                        1
      1200       0.106253        -0.2348              9.62089e-23              3.89517e-07              2.37745e-18              7.65276e-18              1.45902e-20              0.000231272                  0.28767              0.000154433               3.0052e-14              7.25954e-18              3.95288e-08              1.05755e-24              4.32235e-23              3.56604e-33              1.49113e-15              4.23091e-33              3.20956e-05                 0.383883              0.000283199                 0.327746                        1
      1250         0.1064      -0.141215              1.71923e-21               9.5435e-07              1.03523e-17               5.1889e-17              1.58808e-19              0.000161179                 0.287863              7.87556e-05              1.73177e-13              6.98581e-17              9.70017e-08               2.9949e-23              7.56864e-22              2.51089e-31              9.02892e-15              3.13271e-31              5.41976e-05                 0.384028              0.000164533                 0.327648                        1
      1300        0.10649     -0.0479078              2.46013e-20              2.18444e-06              4.03131e-17              3.03887e-16              1.43726e-18              0.000115419                 0.287958              4.23594e-05              8.71345e-13              5.64248e-16               2.2193e-07              6.53775e-22              1.06116e-20              1.27247e-29              4.75402e-14              1.66213e-29              8.78625e-05                 0.384111              9.96602e-05                 0.327583                        1
