   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -8.34494             3.04415e-116              2.16082e-37               5.3636e-76              5.06111e-80             3.55598e-100                 0.498658              9.35804e-12                0.0029973              7.96686e-72              1.81688e-93              2.84235e-41             3.76024e-134             2.13442e-118             1.29353e-171              6.51225e-78             3.04379e-173               1.1447e-24              0.000130681                 0.448915                0.0492988                        1
       350              0       -8.19897              2.07452e-98              1.69962e-31              1.01469e-64              2.91787e-68              7.62711e-85                 0.501793              1.99464e-09               0.00688324              6.54735e-61              6.57717e-79              1.16769e-34             2.99811e-113             4.31705e-100             3.06255e-145              8.95529e-66             1.48899e-146              6.87257e-21               0.00113518                 0.440915                 0.049274                        1
       400              0       -8.03491              5.03434e-85              4.62364e-27              2.88342e-56              1.95455e-59              2.46636e-73                 0.503544              1.09598e-07                0.0122212              1.01363e-52              5.64468e-68              1.09543e-29              1.46015e-97              2.41508e-86             1.93734e-125              1.19899e-56             1.63705e-126              4.74143e-18               0.00593161                 0.429148                0.0491558                        1
       450              0       -7.86152              1.31549e-74              1.32584e-23              1.07598e-49               1.4416e-52              2.23851e-64                 0.497828              2.43847e-06                0.0184074              2.38006e-46              1.83484e-59               8.1801e-26              2.35322e-85              1.21878e-75             5.02151e-110              1.55188e-49             6.55738e-111              7.67434e-16                0.0218468                 0.413152                0.0487634                        1
       500              0       -7.68396              2.86549e-66               7.7973e-21              1.94086e-44              4.50369e-47              3.28828e-57                 0.474385              2.88868e-05                0.0249529              2.95859e-41              1.18885e-52               1.0214e-22              1.38041e-75              4.48333e-67               1.0955e-97              7.64981e-44              2.03322e-98              4.44586e-14                0.0619542                 0.390905                 0.047774                        1
       550              0       -7.49657              1.91535e-59              1.43017e-18              3.88449e-40              1.40148e-42              2.37451e-51                  0.42146              0.000217282                 0.031689              4.30588e-37              4.40152e-47              3.38882e-20              1.35776e-67              4.52899e-60               1.3794e-87              3.40734e-39              3.42006e-88              1.19766e-12                  0.14179                 0.359042                0.0458014                        1
       600              0        -7.2703              9.37099e-54              1.07687e-16              1.50374e-36              7.68027e-39              1.76013e-46                 0.334731               0.00116941                 0.038848              1.24546e-33              1.87139e-42              4.02988e-18              6.20645e-61              3.03028e-54              3.62326e-79              2.41781e-35              1.14477e-79              1.77715e-11                  0.26765                 0.314926                0.0426753                        1
       650              0       -6.92696              6.12837e-49              4.01808e-15              1.65285e-33              1.10456e-35               2.2257e-42                 0.228781               0.00488808                0.0468456              1.03749e-30                1.479e-38              2.10444e-16              2.67233e-55               2.4667e-49              4.83695e-72              4.03242e-32              1.87713e-72              1.63698e-10                 0.421266                 0.259423                0.0387969                        1
       700              0       -6.31928              8.23856e-45              8.54243e-14              6.68381e-31              5.58427e-33               6.9376e-39                 0.133596                0.0165745                0.0546278              3.26843e-28              3.08161e-35              5.63723e-15              1.79611e-50              3.79256e-45              6.20331e-66              2.10905e-29              2.87181e-66              1.03219e-09                 0.562884                   0.1973                0.0350178                        1
       750              0       -5.29997              3.12218e-41              1.15919e-12               1.1616e-28              1.23156e-30              7.06127e-36                0.0692862                0.0454734                0.0567716              4.76245e-26              2.21204e-32              8.87623e-14              2.73013e-46              1.53803e-41              1.21961e-60              4.37106e-27              6.57831e-61              4.84711e-09                 0.661482                 0.135112                0.0318748                        1
