   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -7.42577             2.02943e-117               2.6989e-38              1.50919e-76               2.2291e-80             4.44147e-101                 0.409589              2.63312e-12               0.00355954              3.50891e-72              2.26931e-94              6.65127e-42             2.50683e-135             2.66592e-119             8.62353e-173              1.52391e-78              2.0292e-174               9.4457e-25              3.05802e-05                 0.443372                 0.143449                        1
       350              0       -7.28794              1.38301e-99              2.12515e-32              2.84091e-65              1.28539e-68              9.53673e-86                 0.413957              5.58459e-10               0.00809349              2.88426e-61              8.22391e-80               2.7384e-35             1.99874e-114             5.39791e-101              2.0417e-146              2.10015e-66             9.92662e-148               5.6783e-21              0.000266216                 0.434251                 0.143432                        1
       400              0       -7.13302              3.35623e-86              5.79461e-28              8.01985e-57              8.61815e-60              3.09099e-74                  0.41925              3.04831e-08                0.0141814              4.46939e-53              7.07424e-69              2.58082e-30              9.73433e-99              3.02672e-87             1.29156e-126              2.82481e-57             1.09136e-127              3.93014e-18               0.00139748                 0.421821                 0.143351                        1
       450              0       -6.96897              8.76991e-76               1.6705e-24              2.96946e-50              6.37586e-53              2.82043e-65                 0.423423              6.72965e-07                0.0210298              1.05264e-46              2.31182e-60              1.94787e-26              1.56881e-86              1.53561e-76             3.34768e-111               3.6954e-50             4.37159e-112              6.41477e-16               0.00520223                 0.407266                 0.143078                        1
       500              0       -6.80103              1.91032e-67              9.94339e-22              5.30714e-45              2.00738e-47              4.19333e-58                 0.423415              7.89887e-06                0.0279863               1.3187e-41              1.51606e-53              2.49155e-23              9.20273e-77               5.7173e-68               7.3033e-99              1.86605e-44              1.35548e-99              3.79053e-14                0.0151127                 0.391112                 0.142366                        1
       550              0       -6.62948               1.2769e-60              1.86938e-19              1.04938e-40               6.3455e-43              3.10374e-52                 0.415212              5.86982e-05                0.0346898              1.94958e-37              5.75324e-48               8.6848e-21              9.05176e-69              5.91986e-61              9.19599e-89              8.73226e-40              2.28004e-89              1.06319e-12                0.0363377                 0.372862                  0.14084                        1
       600              0       -6.44871              6.24733e-55                1.472e-17              3.98897e-37              3.56663e-39              2.40596e-47                  0.39441              0.000310209                 0.041005              5.78377e-34              2.55804e-43              1.12946e-18              4.13764e-62              4.14216e-55               2.4155e-80              6.77645e-36              7.63182e-81              1.69216e-11                 0.075015                 0.351211                 0.138048                        1
       650              0       -6.24528              4.08558e-50              5.89487e-16              4.26965e-34              5.29244e-36               3.2653e-43                 0.357699               0.00126269                0.0468898              4.97111e-31              2.16983e-39              6.79425e-17              1.78155e-56              3.61886e-50              3.22464e-73              1.30188e-32              1.25142e-73              1.72607e-10                 0.136007                 0.324536                 0.133605                        1
       700              0       -5.99303              5.49238e-46              1.37776e-14              1.68711e-31              2.75016e-33              1.11893e-39                 0.305095               0.00418368                0.0522087              1.60965e-28              4.97015e-36              2.19959e-15              1.19741e-51               6.1168e-46              4.13554e-67              8.22929e-30              1.91454e-67               1.2298e-09                 0.219632                 0.291483                 0.127398                        1
       750              0        -5.6458              2.08145e-42              2.07841e-13              2.98939e-29              6.16298e-31              1.26608e-36                 0.241674                0.0117026                0.0563994              2.38324e-26              3.96616e-33               4.2803e-14              1.82009e-47              2.75768e-42              8.13075e-62              2.10782e-27              4.38554e-62              6.52361e-09                  0.31898                 0.251511                 0.119733                        1
