   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -5.67845             1.52208e-116              1.03177e-37              5.59767e-76              9.65431e-80             1.69794e-100                 0.207371              9.76642e-12               0.00652921              1.51972e-71               8.6754e-94              1.29609e-41             1.88012e-134             1.01916e-118             6.46765e-172              2.96954e-78              1.5219e-173              2.08526e-24              5.95896e-05                 0.427269                 0.358771                        1
       350              0       -5.54907              1.03726e-98              8.17269e-32              1.02541e-64              5.56673e-68              3.66754e-85                 0.214621              2.01573e-09                0.0140591              1.24911e-60              3.16267e-79               5.3999e-35             1.49905e-113             2.07587e-100             1.53128e-145              4.14132e-66             7.44496e-147              1.26095e-20              0.000524957                 0.412107                 0.358688                        1
       400              0       -5.40807              2.51717e-85              2.24132e-27              2.81116e-56              3.73127e-59              1.19557e-73                 0.222436              1.06851e-07                0.0232325              1.93505e-52              2.73627e-68              5.14819e-30              7.30075e-98              1.17072e-86             9.68671e-126              5.63489e-57             8.18523e-127              8.77544e-18               0.00278767                 0.393262                 0.358282                        1
       450              0       -5.26224              6.57743e-75              6.48089e-24              1.01505e-49              2.75779e-52              1.09421e-64                 0.227373               2.3004e-06                0.0327638              4.55307e-46              8.96893e-60              3.90907e-26              1.17661e-85              5.95755e-76             2.51076e-110              7.41607e-50             3.27869e-111              1.43526e-15                  0.01044                 0.372512                 0.356909                        1
       500              0       -5.10998              1.43274e-66              3.84696e-21              1.78225e-44              8.66103e-47              1.62234e-57                  0.22486              2.65261e-05                0.0420823              5.68966e-41              5.86543e-53              4.97249e-23              6.90204e-76              2.21194e-67              5.47748e-98              3.72415e-44              1.01661e-98              8.43646e-14                0.0301611                 0.349503                 0.353366                        1
       550              0       -4.94065              9.57677e-60              7.14233e-19              3.49267e-40                2.724e-42              1.18584e-51                 0.209726              0.000195365                0.0512373              8.36918e-37              2.19813e-47              1.69037e-20              6.78882e-68              2.26179e-60              6.89699e-88              1.69961e-39              1.71003e-88              2.32506e-12                0.0707261                 0.322056                 0.346059                        1
       600              0        -4.7346              4.68549e-54               5.4742e-17              1.32788e-36              1.51881e-38              8.94747e-47                 0.178818               0.00103265                0.0605859              2.46296e-33              9.51305e-43              2.08274e-18              3.10323e-61              1.54042e-54              1.81163e-79              1.24958e-35              5.72386e-80              3.57304e-11                 0.138328                 0.287453                 0.333782                        1
       650              0       -4.46293              3.06419e-49              2.09505e-15              1.43111e-33              2.23233e-35              1.16049e-42                 0.135275               0.00423233                0.0702396              2.09679e-30              7.71162e-39              1.14425e-16              1.33616e-55              1.28615e-49              2.41848e-72              2.19255e-32              9.38566e-73                 3.45e-10                 0.229055                 0.244266                 0.316932                        1
       700              0       -4.08888              4.11928e-45              4.59612e-14              5.67408e-31              1.15151e-32              3.73267e-39                0.0895617                0.0140705                0.0787383              6.73969e-28              1.65801e-35              3.26374e-15              8.98055e-51              2.04052e-45              3.10165e-66              1.22106e-29               1.4359e-66              2.29035e-09                 0.325888                 0.193945                 0.297796                        1
       750              0       -3.57131              1.56109e-41              6.43612e-13              9.82958e-29              2.57512e-30               3.9206e-36                0.0526763                0.0384801                0.0813052              9.95802e-26              1.22818e-32              5.47265e-14              1.36507e-46              8.53956e-42              6.09807e-61              2.69498e-27              3.28915e-61              1.12545e-08                 0.407837                 0.140984                 0.278716                        1
       800              0       -2.88394              2.11375e-38              6.27587e-12              8.27737e-27              2.92162e-28              1.66362e-33                0.0285339                0.0855466                0.0712973              7.82922e-24              3.83867e-30              5.99699e-13               6.1982e-43              1.21347e-38              2.61035e-56              2.82016e-25                1.609e-56              4.34801e-08                 0.462698                0.0914925                 0.260432                        1
       850              0       -2.09161              1.22586e-35              4.57186e-11              3.61882e-25              1.89784e-26              3.36877e-31                0.0148542                 0.150823                0.0483512                3.666e-22              5.93384e-28              4.69231e-12              1.04021e-39              7.12991e-36               3.1821e-52              1.61731e-23              2.20584e-52              1.38924e-07                 0.490704                0.0515699                 0.243698                        1
       900              0       -1.39984              3.50638e-33              2.63727e-10              8.77219e-24              7.79213e-25              3.71869e-29               0.00778758                 0.209887                0.0242713              1.12138e-20              5.15138e-26              2.82806e-11              7.61531e-37              2.02627e-33              1.36142e-48              5.72913e-22              1.04718e-48              3.85014e-07                 0.501672                0.0252471                 0.231134                        1
       950      0.0130958       -0.95365              5.52974e-31              1.26089e-09              1.31956e-22              2.18573e-23              2.48484e-27               0.00426018                 0.244069               0.00983662              2.40975e-19              2.77584e-24              1.39301e-10              2.77216e-34              3.15144e-31              2.41119e-45              1.37698e-20              2.03462e-45                9.604e-07                 0.506253                   0.0114                  0.22418                        1
      1000      0.0284307      -0.695302               5.2566e-29              5.15682e-09              1.40482e-21              4.42918e-22              1.08758e-25               0.00245275                 0.258709                0.0037474              3.83119e-18              1.00087e-22              5.82206e-10              5.57202e-32              2.94656e-29              2.01751e-42              2.39697e-19              1.84956e-42              2.19595e-06                 0.508864               0.00514032                 0.221085                        1
      1050       0.034394      -0.525211               3.2376e-27               1.8459e-08              1.16055e-20              6.77016e-21              3.31467e-24               0.00148035                 0.264374               0.00147487              4.68994e-17              2.55936e-21              2.11692e-09              6.73154e-30              1.78231e-27              8.87619e-40              3.16897e-18              8.76666e-40              4.64893e-06                 0.510467               0.00242004                  0.21978                        1
      1100       0.036675      -0.390193              1.37065e-25              5.88994e-08              7.84311e-20              8.09653e-20              7.39252e-23              0.000931939                 0.266597              0.000619282               4.5728e-16              4.86552e-20              6.82869e-09              5.23934e-28               7.4029e-26              2.24132e-37              3.30521e-17              2.36761e-37              9.19496e-06                 0.511432               0.00120522                 0.219205                        1
      1150      0.0375691      -0.268807              4.18825e-24              1.70072e-07              4.48025e-19              7.81562e-19              1.25689e-21              0.000609253                 0.267518              0.000278742              3.65549e-15              7.14935e-19              1.98585e-08              2.78237e-26              2.21793e-24               3.4921e-35              2.80606e-16              3.92039e-35               1.7133e-05                 0.512011              0.000634761                 0.218931                        1
      1200      0.0379348       -0.15274              9.62089e-23              4.50002e-07              2.21425e-18              6.25261e-18              1.68559e-20              0.000411982                 0.267922              0.000133958              2.45536e-14              8.38683e-18              5.27584e-08              1.05755e-24              4.99354e-23              3.56604e-33              1.99019e-15              4.23091e-33              3.02955e-05                 0.512361              0.000352033                 0.218788                        1
      1250      0.0380991     -0.0386294              1.71923e-21              1.10256e-06              9.64188e-18              4.23935e-17              1.83471e-19              0.000287141                  0.26811              6.83181e-05              1.41486e-13              8.07073e-17              1.29471e-07               2.9949e-23              8.74408e-22              2.51089e-31              1.20512e-14              3.13271e-31              5.11565e-05                 0.512574              0.000204538                 0.218704                        1
