   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -5.99552              6.0883e-116                 3.05e-37              1.03435e-75               1.8112e-79             5.01925e-100                 0.247419              1.80467e-11               0.00557346              2.85107e-71              2.56452e-93              2.83144e-41             7.52049e-134             3.01273e-118             2.58706e-171              6.48726e-78             6.08759e-173              2.89109e-24               0.00013018                 0.431197                  0.31568                        1
       350              0       -5.86584              4.14904e-98               2.4097e-31              1.91267e-64              1.04421e-67              1.08137e-84                 0.253446              3.75986e-09                0.0122286              2.34307e-60              9.32506e-79              1.17361e-34             5.99622e-113             6.12068e-100              6.1251e-145              9.00068e-66             2.97799e-146               1.7435e-20               0.00114093                 0.417664                 0.315521                        1
       400              0       -5.72196              1.00687e-84              6.58413e-27              5.29846e-56              6.99453e-59              3.51214e-73                 0.258825              2.01392e-07                0.0206331              3.62738e-52              8.03812e-68              1.11067e-29               2.9203e-97              3.43912e-86             3.87468e-125              1.21567e-56             3.27409e-126              1.20811e-17               0.00601412                 0.399776                 0.314751                        1
       450              0       -5.56798              2.63097e-74              1.89165e-23              1.93422e-49              5.15849e-52              3.19381e-64                 0.257862               4.3835e-06                 0.029742              8.51659e-46              2.61787e-59              8.32583e-26              4.70643e-85               1.7389e-75              1.0043e-109              1.57953e-49             1.31148e-110              1.95902e-15                 0.022236                 0.377965                  0.31219                        1
       500              0       -5.39671              5.73097e-66              1.10854e-20              3.43982e-44              1.61143e-46              4.67495e-57                 0.242256              5.11965e-05                0.0391899              1.05859e-40              1.69019e-52              1.03225e-22              2.76082e-75              6.37396e-67              2.19099e-97              7.73103e-44              4.06643e-98              1.13078e-13                 0.062612                 0.350082                 0.305809                        1
       550              0       -5.18594              3.83071e-59              2.00785e-18              6.85637e-40              5.01797e-42              3.33364e-51                 0.204664              0.000383517                0.0493627              1.54171e-36              6.17941e-47              3.33969e-20              2.71553e-67              6.35837e-60               2.7588e-87              3.35794e-39              6.84011e-88              3.01014e-12                 0.139735                 0.312272                 0.293583                        1
       600              0         -4.898               1.8742e-53              1.47594e-16               2.6656e-36              2.76067e-38              2.41239e-46                 0.147645               0.00207295                0.0610358              4.47681e-33              2.56488e-42              3.78502e-18              1.24129e-60              4.15322e-54              7.24651e-79               2.2709e-35              2.28954e-79               4.3776e-11                 0.251388                 0.262167                 0.275692                        1
       650              0        -4.4888              1.22567e-48              5.33114e-15              2.93103e-33              4.01105e-35              2.95303e-42                0.0886208               0.00866813                0.0736569              3.76751e-30              1.96232e-38               1.8523e-16              5.34466e-55              3.27279e-49              9.67391e-72              3.54927e-32              3.75426e-72              3.94352e-10                 0.370791                  0.20246                 0.255803                        1
       700              0       -3.92128              1.64771e-44              1.09828e-13              1.15609e-30              2.05773e-32              8.91954e-39                0.0456285                0.0286687                0.0817183              1.20438e-27              3.96196e-35               4.6591e-15              3.59222e-50              4.87602e-45              1.24066e-65               1.7431e-29              5.74362e-66              2.44505e-09                 0.465217                 0.141027                 0.237741                        1
       750              0       -3.16285              6.24435e-41              1.45501e-12              1.88953e-28              4.59407e-30              8.86325e-36                 0.021498                0.0739697                0.0751093              1.77654e-25              2.77653e-32              6.99229e-14              5.46026e-46              1.93053e-41              2.43923e-60              3.44332e-27              1.31566e-60              1.13477e-08                 0.521085                0.0865666                 0.221771                        1
       800              0        -2.2631              8.45499e-38              1.35988e-11              1.39395e-26              5.21234e-28               3.6048e-33               0.00982851                 0.144064                0.0505501              1.39678e-23              8.31777e-30              7.03925e-13              2.47928e-42              2.62939e-38              1.04414e-55               3.3103e-25              6.43599e-56               4.2021e-08                 0.543113                 0.045214                 0.207229                        1
       850              0       -1.48347              4.90343e-35              9.65414e-11              5.01216e-25              3.40732e-26              7.11365e-31               0.00461481                 0.208894                0.0231879              6.58182e-22              1.25302e-27              5.23081e-12              4.16082e-39              1.50558e-35              1.27284e-51              1.80292e-23              8.82337e-52              1.31671e-07                 0.547018                0.0199056                  0.19638                        1
       900              0       -1.02048              1.40255e-32               5.5099e-10              1.01651e-23              1.41629e-24              7.76925e-29               0.00231836                 0.243213               0.00814776               2.0382e-20              1.07625e-25              3.08608e-11              3.04612e-36              4.23337e-33              5.44569e-48              6.25184e-22              4.18872e-48              3.65512e-07                 0.547444               0.00798131                 0.190895                        1
       950              0      -0.773247               2.2119e-30              2.62402e-09              1.38348e-22              4.01153e-23              5.17118e-27               0.00124856                 0.255891               0.00270316              4.42268e-19              5.77676e-24              1.50825e-10              1.10887e-33              6.55843e-31              9.64477e-45               1.4909e-20              8.13849e-45              9.17058e-07                 0.548137               0.00323526                 0.188784                        1
      1000    0.000942652       -0.61131              2.10264e-28              1.07105e-08               1.4127e-21              8.16889e-22              2.25885e-25              0.000713149                 0.260159              0.000947383              7.06599e-18              2.07877e-22              6.27871e-10              2.22881e-31              6.11988e-29              8.07006e-42              2.58497e-19              7.39822e-42              2.10295e-06                 0.548776               0.00139364                 0.188009                        1
      1050     0.00278347      -0.478253              1.29504e-26              3.82932e-08              1.14862e-20              1.25133e-20              6.87628e-24              0.000428385                 0.261655              0.000361175              8.66843e-17              5.30939e-21              2.27756e-09              2.69262e-29              3.69739e-27              3.55048e-39              3.40944e-18              3.50667e-39              4.45634e-06                 0.549203              0.000644228                 0.187704                        1
      1100      0.0034528      -0.354951              5.48262e-25                1.221e-07              7.71436e-20              1.49791e-19              1.53249e-22              0.000268922                 0.262221              0.000149779              8.45999e-16              1.00864e-19              7.33647e-09              2.09573e-27              1.53464e-25              8.96527e-37              3.55099e-17              9.47043e-37              8.81622e-06                 0.549462              0.000318396                 0.187571                        1
      1150     0.00371265       -0.23488               1.6753e-23              3.52415e-07               4.3954e-19               1.4466e-18              2.60445e-21              0.000175508                 0.262451              6.70711e-05              6.76596e-15              1.48145e-18               2.1317e-08              1.11295e-25              4.59587e-24              1.39684e-34              3.01216e-16              1.56816e-34              1.64277e-05                 0.549616              0.000167119                 0.187506                        1
      1200     0.00382708      -0.115654              3.84836e-22              9.32228e-07              2.16987e-18              1.15756e-17              3.49187e-20              0.000118557                 0.262552              3.21606e-05              4.54567e-14              1.73742e-17              5.66039e-08              4.23019e-24              1.03447e-22              1.42642e-32              2.13525e-15              1.69236e-32              2.90474e-05                 0.549706              9.25306e-05                 0.187468                        1
      1250     0.00389511     0.00368252              6.87691e-21              2.28371e-06              9.44367e-18              7.84936e-17              3.80019e-19              8.25776e-05                 0.262599              1.63845e-05              2.61968e-13              1.67167e-16              1.38863e-07              1.19796e-22              1.81114e-21              1.00435e-30              1.29253e-14              1.25309e-30               4.9047e-05                 0.549756              5.37163e-05                 0.187441                        1
      1300     0.00395849       0.123559              9.84054e-20              5.22678e-06              3.67659e-17              4.59712e-16              3.43899e-18              5.91123e-05                 0.262621              8.80822e-06              1.31814e-12               1.3501e-15              3.17649e-07               2.6151e-21              2.53909e-20               5.0899e-29              6.80443e-14              6.64851e-29              7.95081e-05                 0.549778              3.25231e-05                 0.187416                        1
      1350     0.00403868       0.244205              1.15575e-18              1.12606e-05              1.29632e-16              2.36343e-15              2.64154e-17              4.33649e-05                 0.262631              4.96717e-06              5.87884e-12              9.33297e-15              6.82863e-07              4.52981e-20              2.92167e-19              1.92573e-27              3.16409e-13              2.62304e-27              0.000124302                 0.549776              2.04435e-05                 0.187387                        1
      1400     0.00415031       0.365784              1.13792e-17              2.29833e-05              4.18348e-16              1.08156e-14              1.75277e-16              3.25212e-05                 0.262636              2.92326e-06              2.35423e-11              5.61524e-14              1.38885e-06              6.38265e-19              2.81847e-18              5.61254e-26              1.31703e-12              7.94342e-26              0.000188151                 0.549753              1.32885e-05                  0.18735                        1
      1450     0.00430646       0.488453              9.56496e-17              4.46886e-05              1.24703e-15              4.45877e-14              1.02006e-15              2.48783e-05                 0.262636              1.78746e-06              8.56002e-11              2.98305e-13               2.6879e-06              7.47389e-18              2.32143e-17              1.29462e-24              4.96385e-12              1.89766e-24              0.000276659                 0.549703              8.90157e-06                 0.187302                        1
      1500     0.00452085       0.612401              6.97332e-16              8.31762e-05              3.46067e-15              1.67322e-13              5.27548e-15              1.93762e-05                 0.262633              1.13119e-06               2.8534e-10              1.41681e-12              4.97481e-06              7.40924e-17              1.65854e-16              2.41942e-23               1.7109e-11              3.66219e-23              0.000396326                 0.549619              6.12666e-06                 0.187237                        1
      1550     0.00480883       0.737876              4.47055e-15              0.000148811              9.00269e-15              5.76762e-13              2.45246e-14              1.53382e-05                 0.262625              7.38423e-07              8.79359e-10              6.08185e-12              8.84348e-06              6.31972e-16               1.0421e-15              3.73882e-22              5.43965e-11              5.82837e-22              0.000554523                 0.549492              4.32125e-06                  0.18715                        1
      1600      0.0051879       0.865216              2.55082e-14              0.000256858              2.20864e-14              1.84071e-12              1.03512e-13              1.23219e-05                 0.262612              4.95748e-07              2.52394e-09              2.38203e-11              1.51563e-05              4.70391e-15              5.82826e-15              4.86364e-21              1.60743e-10              7.78916e-21              0.000759442                 0.549304              3.11614e-06                 0.187037                        1
      1650     0.00567804       0.994875              1.30916e-13              0.000429107              5.13704e-14              5.47701e-12              4.00161e-13              1.00318e-05                 0.262589              3.41407e-07              6.79057e-09              8.58352e-11              2.51255e-05               3.0935e-14              2.93229e-14               5.4101e-20              4.44409e-10              8.88123e-20               0.00102001                 0.549034              2.29274e-06                  0.18689                        1
      1700     0.00630188        1.12746              6.10048e-13               0.00069579              1.13805e-13              1.52874e-11              1.42791e-12              8.26666e-06                 0.262554              2.40622e-07              1.72236e-08              2.86664e-10              4.04061e-05              1.81732e-13              1.33956e-13              5.21766e-19              1.15624e-09              8.76161e-19               0.00134579                 0.548652              1.71799e-06                 0.186701                        1
      1750     0.00708491        1.26377              2.60245e-12               0.00109777              2.41132e-13              4.02453e-11              4.73537e-12              6.88697e-06                 0.262502              1.73204e-07              4.13921e-08              8.93072e-10              6.31959e-05              9.62981e-13              5.60258e-13               4.4167e-18              2.84548e-09              7.57212e-18                0.0017468                 0.548119              1.30886e-06                 0.186463                        1
      1800     0.00805556        1.40482              1.02388e-11               0.00168898              4.90438e-13              1.00411e-10              1.46835e-11               5.7942e-06                 0.262424              1.27097e-07              9.46743e-08              2.61036e-09              9.63397e-05              4.64254e-12              2.16103e-12              3.31743e-17              6.65384e-09              5.79653e-17               0.00223335                 0.547387              1.01231e-06                 0.186164                        1
      1850     0.00924531        1.55193              3.73946e-11               0.00253898              9.60638e-13              2.38451e-10              4.28024e-11              4.91776e-06                 0.262312              9.49171e-08              2.06917e-07              7.19503e-09               0.00014343              2.05204e-11              7.73757e-12              2.23258e-16              1.48435e-08              3.96928e-16               0.00281579                 0.546391              7.93732e-07                 0.185793                        1
      1900      0.0106887         1.7067              1.27531e-10               0.00373564              1.81736e-12              5.41044e-10              1.17857e-10              4.20632e-06                 0.262155              7.20323e-08              4.33666e-07               1.8787e-08              0.000208897              8.37331e-11              2.58667e-11              1.35796e-15               3.1702e-08              2.45288e-15               0.00350423                 0.545055              6.30092e-07                 0.185336                        1
      1950       0.012423        1.87113              4.08282e-10               0.00538769              3.32928e-12              1.17699e-09              3.07855e-10              3.62204e-06                 0.261938              5.54727e-08               8.7436e-07               4.6659e-08              0.000298073              3.17375e-10              8.11554e-11              7.52367e-15               6.5025e-08              1.37878e-14               0.00430819                 0.543284              5.05786e-07                 0.184779                        1
      2000      0.0144885         2.0476              1.23282e-09               0.00762705              5.91958e-12              2.46241e-09              7.65786e-10              3.13667e-06                 0.261644              4.32953e-08              1.70075e-06              1.10622e-07              0.000417216              1.12363e-09              2.40076e-10              3.82368e-14              1.28445e-07              7.09996e-14               0.00523621                 0.540966              4.10057e-07                 0.184104                        1
      2050      0.0169276        2.23895              3.52613e-09                0.0106106              1.02367e-11              4.96815e-09              1.82021e-09               2.7289e-06                 0.261252              3.42051e-08              3.19976e-06              2.51174e-07              0.000573479              3.73451e-09              6.72411e-10              1.79387e-13              2.44933e-07              3.37094e-13               0.00629534                 0.537968              3.35378e-07                 0.183294                        1
      2100      0.0197845        2.44848              9.59035e-09                0.0145211              1.72489e-11              9.69087e-09              4.14685e-09              2.38246e-06                 0.260738              2.73238e-08              5.83617e-06              5.47767e-07              0.000774794              1.17049e-08              1.78975e-09              7.81352e-13              4.51849e-07              1.48424e-12               0.00749056                 0.534138              2.76402e-07                 0.182328                        1
      2150      0.0231042           2.68              2.48907e-08                0.0195673               2.8367e-11              1.83165e-08              9.07994e-09              2.08486e-06                 0.260074              2.20457e-08              1.03413e-05              1.15033e-06               0.00102964               3.4739e-08              4.54221e-09              3.17617e-12                8.079e-07              6.09254e-12                0.0088242                 0.529304              2.29282e-07                 0.181186                        1
