   "Tw[K]"          "B'c"    "hw[MJ/kg]"                      "C"                      "H"                      "O"                      "N"                     "CH"                    "CH4"                     "CO"                    "CO2"                     "CN"                    "C2H"         "C2H2,acetylene"                     "C3"                    "C3H"                     "C4"         "C4H2,butadiyne"                     "C5"                    "HCN"                     "H2"                    "H2O"                     "N2"                  "C(gr)"
       300              0       -6.56617             1.52208e-117              2.03828e-38              1.46646e-76              2.51157e-80             3.35432e-101                 0.315843              2.55857e-12               0.00448111              3.95354e-72              1.71384e-94              5.05821e-42             1.88012e-135             2.01337e-119             6.46765e-173              1.15891e-78              1.5219e-174              1.07168e-24              2.32559e-05                 0.436844                 0.242809                        1
       350              0       -6.43449              1.03726e-99              1.60755e-32              2.73789e-65              1.44829e-68              7.21395e-86                 0.321267              5.38208e-10                0.0100229              3.24978e-61              6.22088e-80              2.08921e-35             1.49905e-114             4.08319e-101             1.53128e-146              1.60227e-66             7.44496e-148              6.45284e-21              0.000203105                  0.42572                 0.242787                        1
       400              0       -6.28801              2.51717e-86              4.39175e-28              7.65434e-57              9.71098e-60              2.34267e-74                   0.3279              2.90939e-08                0.0172243              5.03614e-53              5.36158e-69              1.97662e-30              7.30075e-99              2.29396e-87             9.68671e-127              2.16348e-57             8.18523e-128              4.47516e-18               0.00107031                 0.411124                 0.242681                        1
       450              0       -6.13499              6.57743e-76              1.26861e-24              2.80754e-50              7.18593e-53              2.14188e-65                  0.33382              6.36269e-07                0.0250651              1.18639e-46              1.75563e-60              1.49782e-26              1.17661e-86              1.16617e-76             2.51076e-111              2.84158e-50             3.27869e-112              7.32056e-16               0.00400026                 0.394789                 0.242326                        1
       500              0       -5.97979              1.43274e-67              7.56658e-22              4.97683e-45              2.26371e-47              3.19098e-58                 0.336544              7.40725e-06                0.0328146              1.48709e-41              1.15367e-53               1.9237e-23              6.90204e-77              4.35067e-68              5.47748e-99              1.44076e-44              1.01661e-99              4.33704e-14                0.0116684                 0.377572                 0.241394                        1
       550              0       -5.82162              9.57677e-61              1.42579e-19              9.77517e-41              7.16439e-43              2.36723e-52                 0.333051              5.46782e-05                0.0401347              2.20117e-37              4.38802e-48              6.73613e-21              6.78882e-69               4.5151e-61              6.89699e-89              6.77295e-40              1.71003e-89              1.22073e-12                0.0281844                 0.359193                 0.239383                        1
       600              0       -5.65469              4.68549e-55              1.12596e-17              3.69637e-37              4.03577e-39              1.84036e-47                 0.320051              0.000287454                0.0469465              6.54455e-34              1.95669e-43              8.81126e-19              3.10323e-62               3.1684e-55              1.81163e-80               5.2865e-36              5.72386e-81              1.95282e-11                0.0585213                 0.338522                 0.235672                        1
       650              0        -5.4674              3.06419e-50              4.52702e-16              3.94057e-34              6.00955e-36              2.50761e-43                 0.294908               0.00116537                0.0532539              5.64468e-31              1.66634e-39              5.34264e-17              1.33616e-56              2.77914e-50              2.41848e-73              1.02373e-32              9.38566e-74              2.00688e-10                 0.106948                 0.314039                 0.229686                        1
       700              0       -5.23966              4.11928e-46              1.06391e-14              1.55234e-31              3.13794e-33              8.64035e-40                 0.257141               0.00384948                0.0589344              1.83661e-28              3.83795e-36               1.7488e-15              8.98055e-52              4.72339e-46              3.10165e-67              6.54276e-30               1.4359e-67              1.44475e-09                  0.17462                 0.284311                 0.221144                        1
       750              0       -4.93877              1.56109e-42              1.61676e-13              2.74527e-29              7.07288e-31              9.84861e-37                 0.209752                 0.010747                0.0634188               2.7351e-26              3.08521e-33              3.45337e-14              1.36507e-47              2.14515e-42              6.09807e-62              1.70059e-27              3.28915e-62               7.7651e-09                 0.257355                 0.248465                 0.210262                        1
       800              0       -4.51764              2.11375e-39              1.71479e-12              2.50418e-27              8.05033e-29              4.54562e-34                 0.159043                0.0258807                0.0652558              2.15729e-24              1.04886e-30              4.47723e-13               6.1982e-44              3.31563e-39              2.61035e-57              2.10547e-25                1.609e-57              3.27355e-08                 0.345441                 0.206649                 0.197731                        1
       850              0       -3.92736              1.22586e-36              1.34804e-11              1.29619e-25              5.22137e-27              9.93305e-32                 0.112278                0.0540217                0.0620308               1.0086e-22              1.74963e-28              4.07952e-12              1.04021e-40               2.1023e-36               3.1821e-53               1.4061e-23              2.20584e-53              1.12697e-07                  0.42662                  0.16059                 0.184459                        1
       900              0       -3.16059              3.50638e-34              8.25084e-11              4.05272e-24              2.12208e-25              1.16341e-29                0.0746066                0.0969671                 0.051805              3.05391e-21              1.61164e-26              2.76806e-11              7.61531e-38              6.33929e-34              1.36142e-49              5.60758e-22              1.04718e-49              3.28039e-07                 0.491029                 0.114167                 0.171425                        1
       950              0       -2.31013              5.52974e-32              4.09969e-10               8.0037e-23              5.83673e-24              8.07928e-28                0.0476127                 0.148038                0.0361883              6.43496e-20              9.02542e-25              1.47265e-10              2.77216e-35              1.02467e-31              2.41119e-46              1.45571e-20              2.03462e-46              8.33873e-07                 0.535199                0.0730992                 0.159862                        1
      1000              0       -1.54886               5.2566e-30              1.71448e-09              1.04892e-21               1.1578e-22              3.61586e-26                0.0299681                 0.193167                0.0208916              1.00149e-18               3.3276e-23              6.43547e-10              5.57202e-33              9.79642e-30              2.01751e-43              2.64951e-19              1.84956e-43              1.90847e-06                 0.562477                0.0424243                 0.151071                        1
